변환,원자료
"2023/04/07","2,490.41"
"2023/04/06","2,459.23"
"2023/04/05","2,495.21"
"2023/04/04","2,480.51"
"2023/04/03","2,472.34"
"2023/03/31","2,476.86"
"2023/03/30","2,453.16"
"2023/03/29","2,443.92"
"2023/03/28","2,434.94"
"2023/03/27","2,409.22"
"2023/03/24","2,414.96"
"2023/03/23","2,424.48"
"2023/03/22","2,416.96"
"2023/03/21","2,388.35"
"2023/03/20","2,379.20"
"2023/03/17","2,395.69"
"2023/03/16","2,377.91"
"2023/03/15","2,379.72"
"2023/03/14","2,348.97"
"2023/03/13","2,410.60"
"2023/03/10","2,394.59"
"2023/03/09","2,419.09"
"2023/03/08","2,431.91"
"2023/03/07","2,463.35"
"2023/03/06","2,462.62"
"2023/03/03","2,432.07"
"2023/03/02","2,427.85"
