회사명,거래소코드,회계년도,매출액증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),총자본증가율(IFRS연결),매출액순이익률(IFRS연결),부채비율(IFRS연결),총자본순이익률(IFRS연결)
(주)CMG제약,058820,2018/12,20.05,6.16,113.94,4.39,12.16,10,5.42
(주)CMG제약,058820,2019/12,17.56,73.26,-49.69,68.07,5.2,6.71,1.99
(주)CMG제약,058820,2020/12,,,,,,,
(주)CMG제약,058820,2021/12,,,,,,,
(주)CMG제약,058820,2022/12,,,,,,,
(주)ES큐브,050120,2018/12,-5.55,-6.15,-325.15,6.17,-18.13,58.92,-5.61
(주)ES큐브,050120,2019/12,29.45,-18.89,0,312.66,-31.5,526.65,-4.78
(주)ES큐브,050120,2020/12,84.57,25.23,0,54.08,-31.35,928.65,-4.29
(주)ES큐브,050120,2021/12,55.92,22.47,0,51.45,4.27,834.56,0.6
(주)ES큐브,050120,2022/12,-40.21,29.87,186.4,-88.76,32.82,10.24,4.1
(주)가비아,079940,2018/12,10.76,12.64,54.56,13.54,11.92,32.62,10.77
(주)가비아,079940,2019/12,15.21,16.59,43.49,32.01,14.23,48.13,12.01
(주)가비아,079940,2020/12,13.98,20.68,13.21,30.07,14.05,50.13,10.33
(주)가비아,079940,2021/12,18.57,13.47,-3.43,16.51,12.47,48.08,8.88
(주)가비아,079940,2022/12,19.31,21.06,84.9,21.58,17.39,51.81,12.39
(주)가온칩스,399720,2018/12,,,,,,,
(주)가온칩스,399720,2019/12,,,,,,,
(주)가온칩스,399720,2020/12,,,,,,,
(주)가온칩스,399720,2021/12,,,,,,,
(주)가온칩스,399720,2022/12,0,0,0,0,10.2,34.55,6.04
(주)강스템바이오텍,217730,2018/12,0.36,94.25,0,55.08,-155.96,53.83,-23.75
(주)강스템바이오텍,217730,2019/12,-34.49,48.29,0,55.26,-439.57,65.37,-28.25
(주)강스템바이오텍,217730,2020/12,52.18,-27.01,0,-27.4,-216.09,69.63,-20.13
(주)강스템바이오텍,217730,2021/12,35.75,31.87,0,25.02,-175.96,56.28,-23.51
(주)강스템바이오텍,217730,2022/12,31.41,-27.48,0,-21.87,-123.78,70.53,-21.96
(주)강원에너지,114190,2018/12,4.72,4.7,0,0.71,1.99,86.93,1.83
(주)강원에너지,114190,2019/12,-50.47,-56.25,-1763.05,-39.69,-83.78,167.94,-47.39
(주)강원에너지,114190,2020/12,-9.88,-19.07,0,-41.75,-33.58,92.84,-28.75
(주)강원에너지,114190,2021/12,,,,,,,
(주)강원에너지,114190,2022/12,0,0,0,0,4.84,161.28,4.09
(주)고려시멘트,198440,2018/12,,,,,,,
(주)고려시멘트,198440,2019/12,,,,,,,
(주)고려시멘트,198440,2020/12,,,,,,,
(주)고려시멘트,198440,2021/12,,,,,,,
(주)고려시멘트,198440,2022/12,,,,,,,
(주)고바이오랩,348150,2019/12,,,,,,,
(주)고바이오랩,348150,2020/12,0,0,0,0,-1199.45,5.68,-94.08
(주)고바이오랩,348150,2021/12,-36.98,63.54,0,79.86,-531.63,16.22,-18.78
(주)고바이오랩,348150,2022/12,301.12,-14.64,0,17.71,-201.51,29.83,-20.41
(주)고영테크놀러지,098460,2018/12,17.13,40.01,58.71,35.99,17.76,23.55,17.47
(주)고영테크놀러지,098460,2019/12,-6.78,7.88,-30.13,9.47,13.31,25.37,10.11
(주)고영테크놀러지,098460,2020/12,-19.14,0.98,-69.01,-0.95,5.1,22.97,3.01
(주)고영테크놀러지,098460,2021/12,0,0,0,0,16.01,31.36,10.75
(주)고영테크놀러지,098460,2022/12,11.35,8.84,-0.76,6.34,14.27,28.35,10.34
(주)골드앤에스,035290,2018/12,-32.19,3.24,0,147.31,-50.46,208.23,-14.69
(주)골드앤에스,035290,2019/12,-11.95,-136.92,0,-62.1,-325.58,0,-84.97
(주)골드앤에스,035290,2020/12,-45.85,0,0,28.19,39.52,43.31,8.91
(주)골드앤에스,035290,2021/12,226.35,5.4,-52.88,26.71,5.71,72.28,3.3
(주)골드앤에스,035290,2022/12,-29.75,-4.11,0,-28.4,-65.91,28.65,-27.88
(주)골드퍼시픽,038530,2018/12,0,0,0,0,-78.34,88.31,-11.82
(주)골드퍼시픽,038530,2019/12,,,,,,,
(주)골드퍼시픽,038530,2020/12,,,,,,,
(주)골드퍼시픽,038530,2021/12,,,,,,,
(주)골드퍼시픽,038530,2022/12,0,0,0,0,-22.78,23.47,-9.29
(주)골프존,215000,2018/12,-0.7,2.99,-74.25,0.15,10.28,30.34,8.04
(주)골프존,215000,2019/12,24.31,2.63,-20.6,23.04,6.56,56.26,5.72
(주)골프존,215000,2020/12,20.85,12.26,136.01,17.5,12.56,62.83,11.03
(주)골프존,215000,2021/12,47.5,28.18,99.43,31.67,17.36,65.67,17.97
(주)골프존,215000,2022/12,40.25,25.75,49.03,21.9,18.07,57.98,20.79
(주)골프존뉴딘홀딩스,121440,2018/12,4.34,-3.25,0,2.41,-3.37,59.42,-0.98
(주)골프존뉴딘홀딩스,121440,2019/12,2.64,-7.41,0,0.21,-15.22,73.61,-4.49
(주)골프존뉴딘홀딩스,121440,2020/12,27.56,4.52,0,2.5,9.75,69.5,3.62
(주)골프존뉴딘홀딩스,121440,2021/12,43.03,27.77,378.32,18.05,32.53,56.22,15.66
(주)골프존뉴딘홀딩스,121440,2022/12,17.01,13.67,-35.51,7.39,18.01,47.21,9.03
(주)공구우먼,366030,2018/12,,,,,,,
(주)공구우먼,366030,2019/12,,,,,,,
(주)공구우먼,366030,2020/12,,,,,,,
(주)공구우먼,366030,2021/12,,,,,,,
(주)공구우먼,366030,2022/12,,,,,,,
(주)광림,014200,2018/12,1.04,-17.97,0,-9.73,-20.82,108.51,-14.37
(주)광림,014200,2019/12,6.79,1.97,0,34.43,-9.6,178.13,-6.36
(주)광림,014200,2020/12,10.53,-13.58,0,-15.98,-14.78,159.91,-10.26
(주)광림,014200,2021/12,16.88,76.85,0,26.73,-12.21,113.73,-9.57
(주)광림,014200,2022/12,9.83,22.77,0,3.44,-12.94,71.68,-9.79
(주)광무,029480,2018/12,0,0,0,0,-22.19,164.99,-18.01
(주)광무,029480,2019/12,58.11,131.12,0,122.08,-17.6,176.39,-14.02
(주)광무,029480,2020/12,-30.99,9.01,0,-38.83,-76.76,59.46,-37.98
(주)광무,029480,2021/12,-24.85,109.65,0,169.37,-4.01,104.17,-1.06
(주)광무,029480,2022/12,313.43,57.85,0,30.69,-9.42,69.76,-6.14
(주)구스앤홈,329050,2018/12,,,,,,,
(주)구스앤홈,329050,2019/12,,,,,,,
(주)구스앤홈,329050,2020/12,,,,,,,
(주)구영테크,053270,2018/12,30.3,23.7,305.87,8.32,3.03,194.32,3.04
(주)구영테크,053270,2019/12,18.24,5.42,-43.49,1.97,1.47,188.09,1.66
(주)구영테크,053270,2020/12,-14.81,-3.06,-78.31,2.52,0.37,204.67,0.35
(주)구영테크,053270,2021/12,3.43,9.73,330.17,5.25,1.54,192.23,1.44
(주)구영테크,053270,2022/12,34.81,9.38,27.04,7.73,1.45,187.82,1.72
(주)국보디자인,066620,2018/12,-6.06,9.38,3.99,6.48,5.46,61.18,8.17
(주)국보디자인,066620,2019/12,5.8,13.59,14.92,27.12,5.93,80.37,8.02
(주)국보디자인,066620,2020/12,7.11,34.58,26.07,20.99,6.98,62.16,8.17
(주)국보디자인,066620,2021/12,12.11,37,-2.78,28.26,6.05,51.82,6.36
(주)국보디자인,066620,2022/12,17.14,-35.93,6.79,-20.8,5.51,87.67,6.74
(주)국순당,043650,2018/12,-2.02,-2.41,-127.24,-1.48,-4.84,10.64,-1.24
(주)국순당,043650,2019/12,66.02,-5.54,0,5.81,-8.1,23.19,-3.37
(주)국순당,043650,2020/12,-48.14,10.17,0,-3.01,35.25,10.06,7.5
