회사명,거래소코드,회계년도,매출액증가율(IFRS연결),자기자본증가율(IFRS연결),순이익증가율(IFRS연결),총자본증가율(IFRS연결),매출액순이익률(IFRS연결),부채비율(IFRS연결),총자본순이익률(IFRS연결)
(주)DB하이텍,000990,2018/12,-1.54,22.51,-21.19,7.3,12.97,91,8.43
(주)DB하이텍,000990,2019/12,20.64,15.45,20.51,2.1,12.96,68.91,9.71
(주)DB하이텍,000990,2020/12,15.92,23.26,58.67,8.24,17.74,48.33,14.64
(주)DB하이텍,000990,2021/12,29.78,39.2,90.87,31.51,26.09,40.13,23.23
(주)DB하이텍,000990,2022/12,37.92,48.12,76.35,36.95,33.36,29.57,30.43
(주)HJ중공업,097230,2018/12,-30.76,-222.45,0,-35.02,-75.6,0,-36.99
(주)HJ중공업,097230,2019/12,-4.07,0,0,-9.64,18.8,908.28,11.77
(주)HJ중공업,097230,2020/12,4.12,30.59,-74.39,-11.19,4.62,585.57,3.36
(주)HJ중공업,097230,2021/12,0.63,35,0,8.72,-8.19,452.13,-6.11
(주)HJ중공업,097230,2022/12,4.78,-10.88,0,7.65,-2.81,566.95,-2.03
(주)MH에탄올,023150,2018/12,40.05,-5.46,-108.83,-12,-16.53,380.62,-2.56
(주)MH에탄올,023150,2019/12,11.1,-7.78,0,2.57,-9.34,468.69,-1.69
(주)MH에탄올,023150,2020/12,17.02,6.85,0,-0.4,4.02,459.13,0.84
(주)MH에탄올,023150,2021/12,7.84,2.38,-13.4,0.4,8.51,432.99,1.93
(주)MH에탄올,023150,2022/12,8.48,5.94,-15.66,-0.89,10.75,369.03,2.65
(주)SH에너지화학,002360,2018/12,-2.4,-1.92,-75.89,-2.3,1.11,16.17,1.64
(주)SH에너지화학,002360,2019/12,-23.28,-5.94,-223.7,0.8,-2.19,24.66,-2.51
(주)SH에너지화학,002360,2020/12,-33.56,-7.76,0,-4.91,-7.42,30.38,-5.77
(주)SH에너지화학,002360,2021/12,49.39,1.94,0,1.94,0.44,30.4,0.52
(주)SH에너지화학,002360,2022/12,19.71,2.59,196.29,3.79,1.09,31.94,1.5
(주)SIMPAC,009160,2018/12,32.74,80.64,436.6,78.86,22.6,56.71,13.02
(주)SIMPAC,009160,2019/12,40.48,1.42,-86.29,-0.38,2.21,53.93,1.39
(주)SIMPAC,009160,2020/12,-14.93,5.17,259.84,8.56,9.33,58.9,4.82
(주)SIMPAC,009160,2021/12,67.55,17.82,166.06,22.51,14.82,65.23,11.07
(주)SIMPAC,009160,2022/12,9.66,9.7,-16.18,6.85,11.33,60.93,8.15
(주)SNT에너지,100840,2018/12,,,,,,,
(주)SNT에너지,100840,2019/12,0,0,0,0,7.24,36.31,4.63
(주)SNT에너지,100840,2020/12,11.28,-3.75,-36.66,0.44,4.12,42.24,2.92
(주)SNT에너지,100840,2021/12,0,0,0,0,7.31,35.65,3.76
(주)SNT에너지,100840,2022/12,18.58,4.32,20.76,29.39,7.44,68.25,3.96
(주)SNT홀딩스,036530,2018/12,-7.08,9.82,303.74,-1.51,5.26,40.62,3.46
(주)SNT홀딩스,036530,2019/12,7.91,16.33,127.87,5.81,8.23,37.56,5.72
(주)SNT홀딩스,036530,2020/12,-5.05,11.38,-40.18,1.51,5.42,40.37,3.46
(주)SNT홀딩스,036530,2021/12,0,0,0,0,10.81,33.27,6.4
(주)SNT홀딩스,036530,2022/12,16.06,3.85,-33.42,7.84,7.09,40.86,4.69
(주)STX,011810,2018/12,-16.68,49.97,-97.28,-11.71,0.61,765.34,1.54
(주)STX,011810,2019/12,-2.12,-11.47,-460.27,1.09,-2.26,895.02,-5.96
(주)STX,011810,2020/12,-33.69,-50.05,0,10.26,-2.1,655.62,-3.47
(주)STX,011810,2021/12,-5.13,136.9,0,9.49,-2.52,451.82,-3.6
(주)STX,011810,2022/12,28.42,-25.01,0,9.71,-1.57,624.35,-2.63
(주)TCC스틸,002710,2018/12,5.57,11.28,537.96,9.36,2.36,171.53,3.34
(주)TCC스틸,002710,2019/12,5.81,4.11,-48.34,3.09,1.15,168.92,1.63
(주)TCC스틸,002710,2020/12,-1.23,0.58,0,-2.37,-0.39,153.25,-0.54
(주)TCC스틸,002710,2021/12,24.28,28.74,0,19.64,5.35,136.42,8.53
(주)TCC스틸,002710,2022/12,27.53,35.05,1.86,38.28,4.32,143.04,6.76
(주)강원랜드,035250,2018/12,-10.37,2.45,-32.06,1.09,20.67,17.97,7.06
(주)강원랜드,035250,2019/12,5.7,3.65,12.56,4.89,22.02,19.38,7.72
(주)강원랜드,035250,2020/12,-68.52,-12.66,0,-17.95,-57.65,12.15,-6.83
(주)강원랜드,035250,2021/12,64.74,0.18,0,5.1,-1.34,17.66,-0.28
(주)강원랜드,035250,2022/12,61.17,5,0,8.9,9.1,22.03,2.89
(주)갤럭시아에스엠,011420,2018/12,-40.83,-34.63,0,-33.27,-72.54,25.62,-38.52
(주)갤럭시아에스엠,011420,2019/12,30.25,-17.65,0,-15.07,-4.79,29.56,-4.47
(주)갤럭시아에스엠,011420,2020/12,,,,,,,
(주)갤럭시아에스엠,011420,2021/12,,,,,,,
(주)갤럭시아에스엠,011420,2022/12,,,,,,,
(주)경농,002100,2018/12,2.96,3.42,-45.49,6.37,2.29,77.34,1.41
(주)경농,002100,2019/12,6.99,0.56,-18.01,3.81,1.76,83.71,1.1
(주)경농,002100,2020/12,9.14,4.74,177.87,0.18,5.35,75.77,3.58
(주)경농,002100,2021/12,8.85,10.18,26.02,4.65,5.96,64.18,4.24
(주)경농,002100,2022/12,33.79,9.33,68.9,15.39,8.54,72.23,7.38
(주)경동나비엔,009450,2018/12,6.15,9.11,-6.3,15.86,3.41,108.35,4.55
(주)경동나비엔,009450,2019/12,6.54,7.48,12.51,4.49,3.6,102.57,4.67
(주)경동나비엔,009450,2020/12,12.8,15.74,49.48,20.48,4.77,111.02,6.19
(주)경동나비엔,009450,2021/12,26.28,29.37,93.71,27.11,7.31,107.34,9.67
(주)경동나비엔,009450,2022/12,5.25,14.94,-33.57,9.01,4.62,96.64,5.49
(주)경동도시가스,267290,2018/12,84.33,8.92,91.84,9.57,2.13,142.84,4.59
(주)경동도시가스,267290,2019/12,-11.44,5.98,-28.03,-3.63,1.73,120.84,3.22
(주)경동도시가스,267290,2020/12,-23.61,5.08,-22.62,-6.71,1.75,96.16,2.62
(주)경동도시가스,267290,2021/12,0,0,0,0,1.52,140.93,2.45
(주)경동도시가스,267290,2022/12,58.18,5.21,9.31,18.03,1.05,170.29,2.45
(주)경동인베스트,012320,2018/12,17.21,10.37,-44.62,-1.21,13.05,48.79,5.01
(주)경동인베스트,012320,2019/12,18.86,4.42,-66.62,2.27,3.26,46.06,1.48
(주)경동인베스트,012320,2020/12,14.27,3.73,67.44,-2.67,5.31,36.8,2.76
(주)경동인베스트,012320,2021/12,-3.89,2.32,-3.99,-1.97,4.65,31.37,2.38
(주)경동인베스트,012320,2022/12,-7.68,3.75,-2.91,1.58,3.4,30.2,1.61
(주)경방,000050,2018/12,-2.59,1.38,-20.23,2.18,5.74,83.67,1.57
(주)경방,000050,2019/12,-2.15,4.62,115.99,5.3,12.68,84.85,3.26
(주)경방,000050,2020/12,-4.27,0.05,-70.13,-7.72,3.96,70.49,0.99
(주)경방,000050,2021/12,0,0,0,0,5.81,68.96,1.75
(주)경방,000050,2022/12,1.53,0.38,-80.19,-1.77,1.13,65.34,0.35
(주)경보제약,214390,2018/12,,,,,,,
(주)경보제약,214390,2019/12,,,,,,,
(주)경보제약,214390,2020/12,,,,,,,
(주)경보제약,214390,2021/12,,,,,,,
(주)경보제약,214390,2022/12,,,,,,,
(주)경인양행,012610,2018/12,10.37,6.41,269.59,15.38,4.17,84.57,3.58
(주)경인양행,012610,2019/12,8.37,5.63,5.71,14.31,4.56,98.83,3.7
(주)경인양행,012610,2020/12,-8.22,-4.42,0,6.99,-2.3,121.17,-1.55
(주)경인양행,012610,2021/12,22.48,10.3,0,14.73,6.75,130.08,5.02
(주)경인양행,012610,2022/12,-0.17,5.1,-41.19,-5.39,4.28,105.99,3.06
(주)광명전기,017040,2018/12,12.36,2.26,0,-0.59,2.38,53.75,1.79
(주)광명전기,017040,2019/12,15.56,8.49,207.09,3.22,5.4,48.69,4.61
(주)광명전기,017040,2020/12,-6.31,4.74,-41.67,5.85,3.67,51.1,2.81
(주)광명전기,017040,2021/12,10.96,5.27,24.5,2.44,4.27,47.59,3.49
(주)광명전기,017040,2022/12,0.84,3.34,-7.54,1.33,4.08,44.85,3.29
(주)광주신세계,037710,2018/12,,,,,,,
(주)광주신세계,037710,2019/12,,,,,,,
(주)광주신세계,037710,2020/12,,,,,,,
(주)광주신세계,037710,2021/12,,,,,,,
(주)광주신세계,037710,2022/12,,,,,,,
(주)국동,005320,2018/12,14.59,13.71,0,15.83,0.96,154.02,1.84
(주)국동,005320,2019/12,1.61,35.08,0,8.6,-2.03,104.22,-3.52
