번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"1","06031012","3S R","KOSDAQ","신주인수권증서","보통주","2012/05/14","2012/05/21",,,,,"0","1194422",,
"2","00684014","AK홀딩스8R","KOSPI","신주인수권증서","보통주","2014/07/28","2014/08/04",,,,,"0","1278299",,
"3","13893015","BNK금융지주 8R","KOSPI","신주인수권증서","보통주","2015/12/24","2016/01/05",,,,,"0","55969410",,
"4","13893014","BS금융지주5R","KOSPI","신주인수권증서","보통주","2014/06/18","2014/06/25",,,,,"0","32791220",,
"5","03204017","C&S자산관리 34R","KOSDAQ","신주인수권증서","보통주","2017/02/02","2017/02/09",,,,,"0","3995063",,
"6","0791601A","CJ CGV 5R","KOSPI","신주인수권증서","보통주","2020/07/03","2020/07/10",,,,,"0","11123742",,
"7","001049","CJ3우B","KOSPI","주권","신형우선주","2000/01/28","2010/01/13",,,,"서비스업","5000","533173",,
"8","097959","CJ제일제당 3우B","KOSPI","주권","신형우선주","2007/09/28","2010/01/13",,,,"음식료품","5000","313133",,
"9","05882016","CMG제약 27R","KOSDAQ","신주인수권증서","보통주","2016/10/18","2016/10/25",,,,,"0","19383736",,
"10","05882019","CMG제약 31R","KOSDAQ","신주인수권증서","보통주","2019/07/04","2019/07/11",,,,,"0","29229146",,
"11","13913014","DGB금융지주4R","KOSPI","신주인수권증서","보통주","2014/12/19","2014/12/29",,,,,"0","27989966",,
"12","3655501B","ESR켄달스퀘어리츠 5R","KOSPI","신주인수권증서","보통주","2021/11/22","2021/11/29",,,,,"0","69817306",,
"13","13050017","GH신소재 4R","KOSDAQ","신주인수권증서","보통주","2017/03/22","2017/03/29",,,,,"0","3998417",,
"14","1305001B","GH신소재 5R","KOSDAQ","신주인수권증서","보통주","2021/08/26","2021/09/02",,,,,"0","3537126",,
"15","00636014","GS건설 17R","KOSPI","신주인수권증서","보통주","2014/05/16","2014/05/23",,,,,"0","15976939",,
"16","2948701A","HDC현대산업개발 2R","KOSPI","신주인수권증서","보통주","2020/02/20","2020/02/27",,,,,"0","21961947",,
"17","0827401C","HSD엔진 8R","KOSPI","신주인수권증서","보통주","2022/07/14","2022/07/21",,,,,"0","10303094",,
"18","09952013","ITX시큐리티 9R","KOSDAQ","신주인수권증서","보통주","2013/08/16","2013/08/23",,,,,"0","1799410",,
"19","09952017","ITX엠투엠 16R","KOSDAQ","신주인수권증서","보통주","2017/10/18","2017/10/25",,,,,"0","2398670",,
"20","17533013","JB금융지주2R","KOSPI","신주인수권증서","보통주","2013/12/18","2013/12/26",,,,,"0","22554337",,
