번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"1","0791601A","CJ CGV 5R","KOSPI","신주인수권증서","보통주","2020/07/03","2020/07/10",,,,,"0","11123742",,
"2","05882019","CMG제약 31R","KOSDAQ","신주인수권증서","보통주","2019/07/04","2019/07/11",,,,,"0","29229146",,
"3","3655501B","ESR켄달스퀘어리츠 5R","KOSPI","신주인수권증서","보통주","2021/11/22","2021/11/29",,,,,"0","69817306",,
"4","1305001B","GH신소재 5R","KOSDAQ","신주인수권증서","보통주","2021/08/26","2021/09/02",,,,,"0","3537126",,
"5","2948701A","HDC현대산업개발 2R","KOSPI","신주인수권증서","보통주","2020/02/20","2020/02/27",,,,,"0","21961947",,
"6","0827401C","HSD엔진 8R","KOSPI","신주인수권증서","보통주","2022/07/14","2022/07/21",,,,,"0","10303094",,
"7","1196501B","KC코트렐 6R","KOSPI","신주인수권증서","보통주","2021/06/23","2021/06/30",,,,,"0","3668170",,
"8","0000401A","KR모터스 41R","KOSPI","신주인수권증서","보통주","2020/04/09","2020/04/17",,,,,"0","44293929",,
"9","2184101B","RFHIC 13R","KOSDAQ","신주인수권증서","보통주","2021/06/22","2021/06/29",,,,,"0","2777085",,
"10","21098018","SK디앤디 6R","KOSPI","신주인수권증서","보통주","2018/12/05","2018/12/12",,,,,"0","4089295",,
"11","3954001C","SK리츠 1R","KOSPI","신주인수권증서","보통주","2022/07/20","2022/07/27",,,,,"0","41502733",,
"12","00151018","SK증권 39R","KOSPI","신주인수권증서","보통주","2018/11/16","2018/11/23",,,,,"0","92858489",,
"13","0118101B","STX 40R","KOSPI","신주인수권증서","보통주","2021/07/15","2021/07/22",,,,,"0","6791526",,
"14","0005001C","가온전선 13R","KOSPI","신주인수권증서","보통주","2022/10/04","2022/10/12",,,,,"0","2194425",,
"15","21773018","강스템바이오텍 20R","KOSDAQ","신주인수권증서","보통주","2018/07/04","2018/07/11",,,,,"0","4194966",,
"16","2177301B","강스템바이오텍 23R","KOSDAQ","신주인수권증서","보통주","2021/09/24","2021/10/01",,,,,"0","12365210",,
