0,1,2,3,4,5,6,7,8,9,10,11
20230709~20230709,엘리멘탈,20228930,321258,3406120,2023-06-14,3195758759,33726893958,1664,6019,1,OLD
20230709~20230709,미션 임파서블: 데드 레코닝 PART ONE,20232631,83694,166595,2023-07-12,895236066,1776922032,500,893,2,OLD
20230709~20230709,범죄도시3,20226411,58788,10533870,2023-05-31,518361297,103414555650,823,2702,3,OLD
20230709~20230709,인디아나 존스: 운명의 다이얼,20232273,52588,791546,2023-06-28,525676362,7852380645,954,2167,4,OLD
20230709~20230709,스파이더맨: 어크로스 더 유니버스,20232180,44102,805365,2023-06-21,425945230,8363648093,646,1182,5,OLD
20230709~20230709,여름날 우리,20219331,20423,167314,2021-08-25,207240207,1615607529,231,377,6,OLD
20230709~20230709,극장판 도라에몽: 진구와 하늘의 유토피아,20232570,14876,32301,2023-07-08,139223600,295447800,283,616,7,OLD
20230709~20230709,귀공자,20211937,13461,659617,2023-06-21,135821629,6483093966,519,894,8,OLD
20230709~20230709,악마들,20224579,10853,67881,2023-07-05,114203643,681751404,551,1056,9,OLD
20230709~20230709,보 이즈 어프레이드,20231889,6221,35208,2023-07-05,64345375,351401960,303,406,10,OLD
0,1,2,3,4,5,6,7,8,9,10,11
20230708~20230708,엘리멘탈,20228930,334430,3084862,2023-06-14,3339134124,30531135199,1639,6167,1,OLD
20230708~20230708,미션 임파서블: 데드 레코닝 PART ONE,20232631,82523,82901,2023-07-12,877527966,881685966,496,896,2,NEW
20230708~20230708,범죄도시3,20226411,71553,10475082,2023-05-31,631928202,102896194353,833,2845,3,OLD
20230708~20230708,인디아나 존스: 운명의 다이얼,20232273,62894,738958,2023-06-28,634326801,7326704283,952,2287,4,OLD
20230708~20230708,스파이더맨: 어크로스 더 유니버스,20232180,49296,761263,2023-06-21,476303073,7937702863,641,1211,5,OLD
20230708~20230708,여름날 우리,20219331,19296,146891,2021-08-25,193045478,1408367322,219,364,6,OLD
20230708~20230708,극장판 도라에몽: 진구와 하늘의 유토피아,20232570,17127,17425,2023-07-08,154138200,156224200,283,628,7,NEW
20230708~20230708,귀공자,20211937,15529,646156,2023-06-21,155329075,6347272337,541,937,8,OLD
20230708~20230708,악마들,20224579,13751,57028,2023-07-05,143491829,567547761,572,1149,9,OLD
20230708~20230708,보 이즈 어프레이드,20231889,7965,28987,2023-07-05,86588568,287056585,312,424,10,OLD
0,1,2,3,4,5,6,7,8,9,10,11
20230707~20230707,엘리멘탈,20228930,144760,2750432,2023-06-14,1442900108,27192001075,1256,5021,1,OLD
20230707~20230707,범죄도시3,20226411,39853,10403529,2023-05-31,342666074,102264266151,802,2970,2,OLD
20230707~20230707,인디아나 존스: 운명의 다이얼,20232273,33520,676064,2023-06-28,326947257,6692377482,880,2443,3,OLD
20230707~20230707,스파이더맨: 어크로스 더 유니버스,20232180,29089,711967,2023-06-21,275382136,7461399790,598,1245,4,OLD
20230707~20230707,악마들,20224579,11585,43277,2023-07-05,118610875,424055932,595,1630,5,OLD
20230707~20230707,귀공자,20211937,10286,630627,2023-06-21,101706320,6191943262,602,1166,6,OLD
20230707~20230707,여름날 우리,20219331,9770,127595,2021-08-25,99333212,1215321844,185,292,7,OLD
20230707~20230707,보 이즈 어프레이드,20231889,5192,21022,2023-07-05,51692545,200468017,307,453,8,OLD
20230707~20230707,빈틈없는 사이,20231773,2637,9288,2023-07-05,23800980,83260333,275,464,9,OLD
20230707~20230707,풍재기시,20232078,1620,6409,2023-07-05,14746648,55744054,164,216,10,OLD
0,1,2,3,4,5,6,7,8,9,10,11
20230706~20230706,엘리멘탈,20228930,95076,2605672,2023-06-14,919001086,25749100967,1174,4635,1,OLD
20230706~20230706,범죄도시3,20226411,29875,10363676,2023-05-31,254899474,101921600077,772,2800,2,OLD
20230706~20230706,인디아나 존스: 운명의 다이얼,20232273,24919,642544,2023-06-28,233171024,6365430225,864,2343,3,OLD
20230706~20230706,스파이더맨: 어크로스 더 유니버스,20232180,20899,682878,2023-06-21,193495718,7186017654,568,1158,4,OLD
20230706~20230706,악마들,20224579,12258,31692,2023-07-05,119580841,305445057,600,1717,5,OLD
20230706~20230706,귀공자,20211937,9306,620341,2023-06-21,87947830,6090236942,583,1140,6,OLD
20230706~20230706,여름날 우리,20219331,6845,117825,2021-08-25,67110436,1115988632,169,233,7,OLD
20230706~20230706,보 이즈 어프레이드,20231889,4768,15830,2023-07-05,44740756,148775472,302,436,8,OLD
20230706~20230706,빈틈없는 사이,20231773,2502,6651,2023-07-05,22049167,59459353,291,491,9,OLD
20230706~20230706,풍재기시,20232078,1491,4789,2023-07-05,12544278,40997406,166,213,10,OLD
0,1,2,3,4,5,6,7,8,9,10,11
20230705~20230705,엘리멘탈,20228930,101651,2510596,2023-06-14,983680110,24830099881,1141,4540,1,OLD
20230705~20230705,범죄도시3,20226411,34121,10333801,2023-05-31,291707395,101666700603,765,2824,2,OLD
20230705~20230705,스파이더맨: 어크로스 더 유니버스,20232180,24912,661979,2023-06-21,233267066,6992521936,566,1168,3,OLD
20230705~20230705,인디아나 존스: 운명의 다이얼,20232273,24843,617625,2023-06-28,235887091,6132259201,843,2379,4,OLD
20230705~20230705,악마들,20224579,17601,19434,2023-07-05,169268216,185864216,613,1889,5,NEW
20230705~20230705,귀공자,20211937,9902,611035,2023-06-21,94209356,6002289112,582,1161,6,OLD
20230705~20230705,보 이즈 어프레이드,20231889,9566,11062,2023-07-05,85751909,104034716,307,470,7,NEW
20230705~20230705,여름날 우리,20219331,7063,110980,2021-08-25,68499943,1048878196,150,211,8,OLD
20230705~20230705,기적을 믿는 소녀,20226584,5161,7050,2023-07-05,46473300,65468300,76,83,9,NEW
20230705~20230705,풍재기시,20232078,3088,3298,2023-07-05,26096128,28453128,174,236,10,NEW
0,1,2,3,4,5,6,7,8,9,10,11
20230704~20230704,엘리멘탈,20228930,84365,2408945,2023-06-14,817064855,23846419771,1135,4262,1,OLD
20230704~20230704,범죄도시3,20226411,38659,10299680,2023-05-31,329940326,101374993208,857,3463,2,OLD
20230704~20230704,인디아나 존스: 운명의 다이얼,20232273,31070,592782,2023-06-28,300324143,5896372110,1178,3501,3,OLD
20230704~20230704,스파이더맨: 어크로스 더 유니버스,20232180,16660,637067,2023-06-21,168404572,6759254870,645,1338,4,OLD
20230704~20230704,귀공자,20211937,13653,601133,2023-06-21,130432757,5908079756,650,1668,5,OLD
