"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 05- 31","1,982.10","1,977.50","1,993.10","1,971.80","207.75K","0.25%"
"2023- 05- 30","1,977.10","1,961.30","1,981.90","1,949.60","264.37K","0.89%"
"2023- 05- 29","1,959.75","1,961.45","1,968.15","1,958.10","","-0.09%"
"2023- 05- 28","1,961.50","1,964.55","1,964.55","1,960.05","","-0.08%"
"2023- 05- 26","1,963.10","1,961.80","1,975.70","1,954.70","130.07K","1.03%"
"2023- 05- 25","1,943.10","1,959.50","1,965.40","1,939.00","0.00K","-1.00%"
"2023- 05- 24","1,962.80","1,975.40","1,975.40","1,969.20","0.19K","-0.49%"
"2023- 05- 23","1,972.40","1,973.90","1,980.00","1,955.80","0.00K","-0.12%"
"2023- 05- 22","1,974.80","1,980.50","1,980.50","1,980.50","0.01K","-0.20%"
"2023- 05- 19","1,978.70","1,960.00","1,976.70","1,960.00","0.11K","1.13%"
"2023- 05- 18","1,956.50","1,956.80","1,956.80","1,956.80","0.02K","-1.22%"
"2023- 05- 17","1,980.70","1,983.60","1,983.60","1,983.60","0.01K","-0.39%"
"2023- 05- 16","1,988.40","2,021.30","2,022.70","1,989.10","0.05K","-1.47%"
"2023- 05- 15","2,018.00","2,013.80","2,017.10","2,013.80","0.00K","-0.09%"
"2023- 05- 12","2,019.80","2,020.50","2,027.80","2,005.70","220.50K","-0.03%"
"2023- 05- 11","2,020.50","2,036.80","2,047.60","2,016.70","296.98K","-0.81%"
"2023- 05- 10","2,037.10","2,041.60","2,056.00","2,028.30","260.81K","-0.28%"
"2023- 05- 09","2,042.90","2,028.40","2,045.10","2,026.40","199.70K","0.48%"
"2023- 05- 08","2,033.20","2,024.60","2,037.10","2,022.00","182.21K","0.41%"
"2023- 05- 05","2,024.80","2,058.00","2,061.30","2,007.00","283.30K","-1.50%"
"2023- 05- 04","2,055.70","2,054.70","2,085.40","2,038.50","311.00K","0.92%"
"2023- 05- 03","2,037.00","2,026.40","2,050.00","2,016.00","229.67K","0.68%"
"2023- 05- 02","2,023.30","1,990.50","2,028.80","1,986.90","245.64K","1.56%"
"2023- 05- 01","1,992.20","2,000.20","2,015.40","1,985.70","173.02K","-0.35%"
"2023- 04- 28","1,999.10","1,997.20","2,004.10","1,984.40","172.45K","0.01%"
"2023- 04- 27","1,999.00","1,999.80","2,013.30","1,982.00","203.90K","0.61%"
"2023- 04- 26","1,986.90","2,000.00","2,009.80","1,986.60","0.62K","-0.41%"
"2023- 04- 25","1,995.10","1,995.40","2,005.00","1,979.30","0.85K","0.23%"
"2023- 04- 24","1,990.60","1,983.20","1,991.00","1,975.30","0.54K","0.47%"
"2023- 04- 21","1,981.30","2,005.10","2,007.00","1,973.00","0.62K","-1.42%"
"2023- 04- 20","2,009.80","1,996.50","2,014.50","1,994.20","0.42K","0.59%"
"2023- 04- 19","1,998.00","2,008.50","2,009.70","1,971.90","0.92K","-0.61%"
"2023- 04- 18","2,010.30","1,997.10","2,013.40","1,994.50","0.22K","0.81%"
"2023- 04- 17","1,994.20","2,002.70","2,007.60","1,983.20","0.55K","-0.40%"
"2023- 04- 14","2,002.20","2,041.00","2,047.80","1,995.00","0.72K","-1.92%"
"2023- 04- 13","2,041.30","2,015.60","2,048.60","2,015.60","1.04K","1.51%"
"2023- 04- 12","2,010.90","2,005.20","2,025.70","2,005.20","0.17K","0.30%"
"2023- 04- 11","2,004.80","1,991.40","2,006.50","1,991.40","0.07K","0.79%"
"2023- 04- 10","1,989.10","2,000.00","2,006.60","1,984.00","0.65K","-1.13%"
"2023- 04- 06","2,011.90","2,022.20","2,023.30","2,005.00","0.49K","-0.45%"
"2023- 04- 05","2,020.90","2,022.10","2,033.80","2,013.60","0.53K","-0.06%"
"2023- 04- 04","2,022.20","1,984.60","2,027.10","1,979.00","0.81K","1.93%"
"2023- 04- 03","1,983.90","1,968.10","1,991.70","1,950.00","0.74K","0.76%"
"2023- 03- 31","1,969.00","1,981.30","1,986.80","1,968.00","0.96K","-0.57%"
"2023- 03- 30","1,980.30","1,965.90","1,984.40","1,954.90","10.12K","0.68%"
