일자,언론사,제목,특성추출(가중치순 상위 50개),URL,nouns,주식일자
2022-01-01,중도일보,"김 총리, 새해 첫 현장 행보 인천공항 화물터미널 방문","인천공항,대한항공,정책역량,수출액,우리나라,수출기업,1조,공급망,시장발굴,반도체,민생경제,김부겸,국무총리",http://www.joongdo.co.kr/web/view.php?key=20220101010000018,총리 새해 현장 행보 인천공항 화물 터미널 방문,2022-01-02
2022-01-01,아시아경제,"김 총리, 인천공항서 새해 첫 현장행보 ""무역 활력을 민생경제로""","인천공항,화물터미널,대한항공,정책역량,공급망,김부겸,국무총리,물류애,민생경제,반도체,한국,수출기업,관계자,1조,현장행보,6445억,현장일정,화물선,현장,수출,무역,총리,달러,새해,안정,세계,경제,미래,최대",https://www.asiae.co.kr/article/2022010116445761559,총리 인천공항 새해 현장 행보 무역 민생 경제,2022-01-02
2022-01-01,동아일보,김 총리 “무역 역군들의 노고 감사 새해에도 힘써달라”,"대한항공,인천공항,한국,6445억,사회관계,8위,민생경제,자원부,산업통상자원부,반도체,국무총리,사회관계망,수출액,김부겸,우리나라,겹경사,관계자,6150억,수입액,294억,화물터미널,관계자들,버팀목,sns,화물선,무역,새해,이날,달러",https://www.donga.com/news/article/all/20220101/111047323/2,총리 무역 역군 노고 감사 새해 달라,2022-01-02
2022-01-01,YTN,"김 총리, 인천공항 화물터미널 방문...수출 현장 점검","인천공항,대한항공,국무총리,민생경제,첫날,김부겸,성장세,반도체,ytn,화물선,sns,현장,경제,최선,회복,방문,미래,세계,점검,총리,화물,안정,바탕,방역,새해,무역,개척,국민,참관,일상,민생,수출,터미널,교역,정부,연결",https://www.ytn.co.kr/_ln/0101_202201011256049699,총리 인천공항 화물 터미널 방문 수출 현장 점검,2022-01-02
2022-01-01,서울경제,"첫 수출 화물 실은 대한항공 항공편, 미국 멕시코로","대한항공,화물기,미국,75t,여객기,인천공항,반도체,코로나바이러스,김형우,보잉,각국,물류난,코로나19,자동차,멕시코,감염증,댈러스,멕시코로,비행기,과달라하라,태평양,항공편,관계자,777f",http://www.sedaily.com/NewsView/260P268L7Z,수출 화물 대한항공 항공 미국 멕시코,2022-01-02
2022-01-01,머니투데이,반도체 車부품 스마트폰..새해 첫 수출 화물기 띄운 대한항공,"화물기,코로나19,대한항공,진단키트,여객기,공급망,대항항공,김형우,반도체,태스크포스,보잉,태평양,미국,항공기,댈러스,각국,멕시코,인천국제공항,과달라하라",http://news.moneytoday.co.kr/view/mtview.php?no=2022010109503211096&type=2,반도체 부품 스마트폰 새해 수출 화물기 대한항공,2022-01-02
2022-01-02,YTN,"우리카드 ""1위 대한항공도 잡았다""...파죽의 6연승","우리카드,대한항공,6연승,김재휘,송희채,상승세,4위,김상익,외국인,정지석,한국전력,듀스,칼텍스,5연,2세트,16점,흥국생명,25대,23득점,전문가,최하위,나경복,여자부,3연승,눈앞",https://www.ytn.co.kr/_ln/0107_202201021910126083,우리카드 대한항공 파죽 연승,2022-01-03
2022-01-02,YTN,"우리카드 ""1위 대한항공도 잡았다""...파죽의 6연승","우리카드,대한항공,6연승,김재휘,송희채,상승세,4위,김상익,외국인,정지석,한국전력,듀스,칼텍스,5연,2세트,16점,흥국생명,25대,23득점,전문가,최하위,나경복,여자부,3연승,눈앞",https://www.ytn.co.kr/_ln/0107_202201022325337177,우리카드 대한항공 파죽 연승,2022-01-03
2022-01-02,경향신문,"공중전 압도 우리카드, 선두 대한항공 날개 꺾고 6연승","우리카드,알렉스,대한항공,송희채,대한한공,김재휘,나경복,6연승,리시브,홈경기,최하위,곽승석,장충체육관,27점,한국전력,링컨,상승세,신영철",https://www.khan.co.kr/sports/basketball-volleyball/article/202201022154085,공중전 압도 우리카드 선두 대한항공 날개 연승,2022-01-03
2022-01-02,SBS,선두 대한항공까지 잡았다 우리카드 6연승,"우리카드,여자부,6연승,맹활약,듀스,알렉스,한국전력,대한항공,칼텍스,모마,영상편집,3연패,눈앞,나경복,흥국생명,마침표,상승세,우기정,gs,블로킹,도약,혼자,승점,행진,편집,영상,에이스,승리,수비,성공,서브,공격,추격,상황,선두,배구",https://news.sbs.co.kr/news/endPage.do?news_id=N1006590591&plink=ORI&cooper=ETC,선두 대한항공 우리카드 연승,2022-01-03
