날짜,종가,변동 %,금종가,유가종가,target
2022- 01- 03,29500.0,0.51,1800.1,76.08,0
2022- 01- 04,29100.0,-1.36,1814.6,76.99,0
2022- 01- 05,28900.0,-0.69,1825.1,77.85,0
2022- 01- 06,28450.0,-1.56,1789.2,79.46,0
2022- 01- 07,28600.0,0.53,1797.4,78.9,1
2022- 01- 10,28100.0,-1.75,1798.8,78.23,0
2022- 01- 11,28100.0,0.0,1818.5,81.22,0
2022- 01- 12,28500.0,1.42,1827.3,82.64,1
2022- 01- 13,28800.0,1.05,1821.4,82.12,1
2022- 01- 14,28900.0,0.35,1816.5,83.82,1
2022- 01- 17,28250.0,-2.25,1812.4,83.69,0
2022- 01- 18,28050.0,-0.71,1814.1,85.43,0
2022- 01- 19,27550.0,-1.78,1843.2,86.96,0
2022- 01- 20,27900.0,1.27,1842.6,86.9,1
2022- 01- 21,27700.0,-0.72,1831.8,85.14,0
2022- 01- 24,26900.0,-2.89,1841.7,83.31,0
2022- 01- 25,26250.0,-2.42,1852.5,85.6,0
2022- 01- 26,27200.0,3.62,1829.7,87.35,1
2022- 01- 27,26650.0,-2.02,1793.1,86.61,0
2022- 01- 28,28300.0,6.19,1786.6,86.82,1
2022- 02- 03,28650.0,1.24,1804.1,90.27,1
2022- 02- 04,29600.0,3.32,1807.8,92.31,1
2022- 02- 07,29800.0,0.68,1821.8,91.32,1
2022- 02- 08,29850.0,0.17,1827.9,89.36,1
2022- 02- 09,30250.0,1.34,1836.6,89.66,1
2022- 02- 10,30250.0,0.0,1837.4,89.88,0
2022- 02- 11,30150.0,-0.33,1842.1,93.1,0
2022- 02- 14,29900.0,-0.83,1869.4,95.46,0
2022- 02- 15,28950.0,-3.18,1856.2,92.07,0
2022- 02- 16,30000.0,3.63,1871.5,93.66,1
2022- 02- 17,30050.0,0.17,1902.0,91.76,1
2022- 02- 18,29900.0,-0.5,1899.8,91.07,0
2022- 02- 21,30050.0,0.5,1907.4,92.65,1
2022- 02- 22,29750.0,-1.0,1907.4,92.35,0
2022- 02- 23,29600.0,-0.5,1910.4,92.1,0
2022- 02- 24,28700.0,-3.04,1926.3,92.81,0
2022- 02- 25,28900.0,0.7,1887.6,91.59,1
2022- 02- 28,29300.0,1.38,1900.7,95.72,1
2022- 03- 01,29300.0,0.0,1943.8,103.41,0
2022- 03- 02,28650.0,-2.22,1922.3,110.6,0
2022- 03- 03,28800.0,0.52,1935.9,107.67,1
2022- 03- 04,28550.0,-0.87,1966.6,115.68,0
