날짜,종가,금종가,유가종가,target
2022-01-03,29500.0,70090,76.08,0
2022-01-04,29100.0,69520,76.99,0
2022-01-05,28900.0,70080,77.85,0
2022-01-06,28450.0,69720,79.46,0
2022-01-07,28600.0,69390,78.9,1
2022-01-10,28100.0,69300,78.23,0
2022-01-11,28100.0,69620,81.22,0
2022-01-12,28500.0,69800,82.64,1
2022-01-13,28800.0,69860,82.12,1
2022-01-14,28900.0,69740,83.82,1
2022-01-17,28250.0,69800,83.69,0
2022-01-18,28050.0,69600,85.43,0
2022-01-19,27550.0,69520,86.96,0
2022-01-20,27900.0,70350,86.9,1
2022-01-21,27700.0,70490,85.14,0
2022-01-24,26900.0,70620,83.31,0
2022-01-25,26250.0,70810,85.6,0
2022-01-26,27200.0,71020,87.35,1
2022-01-27,26650.0,70210,86.61,0
2022-01-28,28300.0,69860,86.82,1
2022-02-03,28650.0,70100,90.27,1
2022-02-04,29600.0,69720,92.31,1
2022-02-07,29800.0,70010,91.32,1
2022-02-08,29850.0,70240,89.36,1
2022-02-09,30250.0,70430,89.66,1
2022-02-10,30250.0,70490,89.88,0
2022-02-11,30150.0,70360,93.1,0
2022-02-14,29900.0,71390,95.46,0
2022-02-15,28950.0,72270,92.07,0
2022-02-16,30000.0,71210,93.66,1
2022-02-17,30050.0,72070,91.76,1
2022-02-18,29900.0,72430,91.07,0
2022-02-21,30050.0,72390,92.65,1
2022-02-22,29750.0,72990,92.35,0
2022-02-23,29600.0,72550,92.1,0
2022-02-24,28700.0,74360,92.81,0
2022-02-25,28900.0,73360,91.59,1
2022-02-28,29300.0,73500,95.72,1
2022-03-02,28650.0,74370,110.6,0
2022-03-03,28800.0,74080,107.67,1
2022-03-04,28550.0,74930,115.68,0
2022-03-07,27550.0,76960,119.4,0
2022-03-08,27100.0,78360,123.7,0
2022-03-10,27900.0,77130,106.02,1
2022-03-11,28600.0,77780,109.33,1
2022-03-14,28700.0,78010,103.01,1
2022-03-15,29250.0,76740,96.44,1
2022-03-16,30350.0,75790,95.04,1
2022-03-17,30350.0,75170,102.98,0
2022-03-18,30450.0,75000,104.7,1
2022-03-21,29950.0,75080,112.12,0
2022-03-22,29950.0,75400,111.76,0
2022-03-23,29850.0,74700,114.93,0
2022-03-24,30000.0,75650,112.34,1
2022-03-25,29750.0,76150,113.9,0
2022-03-28,29750.0,75920,105.96,0
2022-03-29,29900.0,75270,104.24,1
2022-03-30,30150.0,74920,107.82,1
2022-03-31,30200.0,74990,100.28,1
2022-04-01,31200.0,75600,99.27,1
2022-04-04,31950.0,75150,103.28,1
2022-04-05,32000.0,75210,101.96,1
2022-04-06,32200.0,75260,96.23,1
2022-04-07,31800.0,75390,96.03,0
2022-04-08,31650.0,75880,98.26,0
2022-04-11,31100.0,76610,94.29,0
2022-04-12,31150.0,77400,100.6,1
2022-04-13,31300.0,77440,104.25,1
2022-04-14,31550.0,77350,106.95,1
2022-04-15,31450.0,77640,,0
2022-04-18,31300.0,78340,108.21,0
2022-04-19,31350.0,78250,102.56,1
2022-04-20,31450.0,76830,102.75,1
2022-04-21,31800.0,77490,103.79,1
2022-04-22,31300.0,77650,102.07,0
2022-04-25,29950.0,76790,98.54,0
2022-04-26,30300.0,76550,101.7,1
2022-04-27,29800.0,77150,102.02,0
2022-04-28,29950.0,76780,105.36,1
2022-04-29,30150.0,77120,104.69,1
2022-05-02,29950.0,76700,105.17,0
2022-05-03,29950.0,75940,102.41,0
2022-05-04,29850.0,75940,107.81,0
2022-05-06,30500.0,76790,109.77,1
2022-05-09,29600.0,76700,103.09,0
2022-05-10,29350.0,76460,99.76,0
2022-05-11,29400.0,75710,105.71,1
2022-05-12,28450.0,76670,106.13,0
2022-05-13,29150.0,75510,110.49,1
2022-05-16,28900.0,74830,114.2,0
2022-05-17,28900.0,75100,112.4,0
2022-05-18,29450.0,74020,109.59,1
2022-05-19,28750.0,74530,112.21,0
2022-05-20,28800.0,75320,113.23,1
2022-05-23,28750.0,75530,110.29,0
2022-05-24,28650.0,75450,109.77,0
2022-05-25,28500.0,75730,110.33,0
2022-05-26,28600.0,75380,114.09,1
2022-05-27,29450.0,75100,115.07,1
2022-05-30,29400.0,74510,117.61,0
2022-05-31,29050.0,74100,114.67,0
2022-06-02,28950.0,74510,116.87,0
2022-06-03,29300.0,74750,118.87,1
2022-06-07,28850.0,74600,119.41,0
2022-06-08,28650.0,74860,122.11,0
2022-06-09,28500.0,74970,121.51,0
2022-06-10,27900.0,75310,120.67,0
2022-06-13,27000.0,76920,120.93,0
2022-06-14,27750.0,75740,118.93,1
2022-06-15,26900.0,75600,115.31,0
2022-06-16,26700.0,75880,117.59,0
2022-06-17,26800.0,76380,109.56,1
2022-06-20,25500.0,76480,108.84,0
2022-06-21,26050.0,76380,110.65,1
2022-06-22,24900.0,76240,106.19,0
2022-06-23,24650.0,76680,104.27,0
2022-06-24,25000.0,76270,107.62,1
2022-06-27,25250.0,76200,109.57,1
2022-06-28,25400.0,75680,111.76,1
2022-06-29,25400.0,75930,109.78,0
2022-06-30,25200.0,75960,105.76,0
2022-07-01,25400.0,75240,108.43,1
2022-07-04,25100.0,75700,110.4,0
2022-07-05,25450.0,75710,99.5,1
2022-07-06,25700.0,74490,98.53,1
2022-07-07,25650.0,73180,102.73,0
2022-07-08,25150.0,73080,104.79,0
2022-07-11,24150.0,73020,104.09,0
2022-07-12,23650.0,73110,95.84,0
2022-07-13,24750.0,72660,96.3,1
2022-07-14,24850.0,72860,95.78,1
2022-07-15,24350.0,72900,97.59,0
2022-07-18,25200.0,72820,102.6,1
2022-07-19,25200.0,72360,104.22,0
2022-07-20,25500.0,72200,102.26,1
2022-07-21,25350.0,71330,96.35,0
2022-07-22,24950.0,72390,94.7,0
2022-07-25,25100.0,72710,96.7,1
2022-07-26,25050.0,72600,94.98,0
2022-07-27,25200.0,72650,97.26,1
2022-07-28,24950.0,72870,96.42,0
2022-07-29,25300.0,73750,98.62,1
2022-08-01,25100.0,73850,93.89,0
2022-08-02,25000.0,74530,94.42,0
2022-08-03,25100.0,74480,90.66,1
2022-08-04,26400.0,74620,88.54,1
2022-08-05,25750.0,74660,89.01,0
2022-08-08,25650.0,74500,90.76,0
2022-08-09,25900.0,74810,90.5,1
2022-08-10,25550.0,75210,91.93,0
2022-08-11,25950.0,74650,94.34,1
2022-08-12,26200.0,74980,92.09,1
2022-08-16,26600.0,74920,86.53,1
2022-08-17,27000.0,74900,88.11,1
2022-08-18,26500.0,74850,90.5,0
2022-08-19,26200.0,74800,90.77,0
2022-08-22,25850.0,74920,90.23,0
2022-08-23,25300.0,74970,93.74,0
2022-08-24,25900.0,75170,94.89,1
2022-08-25,26200.0,75370,92.52,1
2022-08-26,26350.0,75150,93.06,1
2022-08-29,25550.0,74760,97.01,0
2022-08-30,26100.0,75070,91.64,1
2022-08-31,26850.0,74310,89.55,1
2022-09-01,26150.0,74300,86.61,0
2022-09-02,26150.0,74250,86.87,0
2022-09-05,25550.0,75430,88.96,0
2022-09-06,25600.0,75780,86.88,1
2022-09-07,25300.0,75430,81.94,0
2022-09-08,25300.0,76020,83.54,0
2022-09-13,26400.0,75980,87.31,1
2022-09-14,26000.0,75850,88.48,0
2022-09-15,25650.0,75530,85.1,0
2022-09-16,25900.0,74240,85.11,1
2022-09-19,25050.0,74560,85.73,0
2022-09-20,25850.0,74680,84.45,1
2022-09-21,25900.0,74910,82.94,1
2022-09-22,25550.0,75150,83.49,0
2022-09-23,24100.0,75580,78.74,0
2022-09-26,22650.0,75250,76.71,0
2022-09-27,23150.0,74900,78.5,1
2022-09-28,22300.0,75110,82.15,0
2022-09-29,22100.0,75590,81.23,0
2022-09-30,22100.0,76240,79.49,0
2022-10-04,21700.0,77850,86.52,0
2022-10-05,21900.0,77930,87.76,1
2022-10-06,21950.0,77560,88.45,1
2022-10-07,22450.0,77630,92.64,1
2022-10-11,21400.0,76980,89.35,0
2022-10-12,22100.0,76620,87.27,1
2022-10-13,20700.0,76760,89.11,0
2022-10-14,21050.0,76710,85.61,1
2022-10-17,21350.0,76350,85.46,1
2022-10-18,22550.0,75860,82.82,1
2022-10-19,23200.0,75640,85.55,1
2022-10-20,22750.0,75250,85.98,0
2022-10-21,21700.0,75200,85.05,0
2022-10-24,22000.0,76570,84.58,1
2022-10-25,21750.0,76110,85.32,0
2022-10-26,21950.0,75980,87.91,1
2022-10-27,22900.0,75980,89.08,1
2022-10-28,23150.0,75870,87.9,1
2022-10-31,23100.0,75370,86.53,0
2022-11-01,23450.0,75000,88.37,1
2022-11-02,22850.0,75320,90.0,0
2022-11-03,22800.0,74960,88.17,0
2022-11-04,23950.0,75140,92.61,1
2022-11-07,24100.0,75470,91.79,1
2022-11-08,24650.0,74560,88.91,1
2022-11-09,24700.0,75120,85.83,1
2022-11-10,24550.0,75440,86.47,0
2022-11-11,26500.0,74800,88.96,1
2022-11-14,25800.0,75340,85.87,0
2022-11-15,26150.0,75210,86.92,1
2022-11-16,25750.0,75450,85.59,0
2022-11-17,25300.0,75870,81.64,0
2022-11-18,25200.0,75820,80.08,0
2022-11-21,25150.0,75900,79.73,0
2022-11-22,24300.0,75840,80.95,0
2022-11-23,25100.0,75460,77.94,1
2022-11-24,25050.0,75070,77.95,0
2022-11-25,25050.0,74910,76.28,0
2022-11-28,24550.0,75280,77.24,0
2022-11-29,25200.0,74960,78.2,1
2022-11-30,25450.0,74650,80.56,1
2022-12-01,25500.0,74680,81.33,1
2022-12-02,25000.0,75230,80.3,0
2022-12-05,25650.0,75120,77.4,1
2022-12-06,25150.0,75000,74.47,0
2022-12-07,26050.0,75270,72.58,1
2022-12-08,26000.0,75630,72.06,0
2022-12-09,26050.0,75280,71.5,1
2022-12-12,25600.0,75030,73.44,0
2022-12-13,25550.0,74910,75.19,0
2022-12-14,25250.0,75310,77.27,0
2022-12-15,24850.0,75220,76.25,0
2022-12-16,24700.0,74980,74.45,0
2022-12-19,24600.0,75230,75.89,0
2022-12-20,24450.0,74740,76.23,0
2022-12-21,24550.0,75200,78.24,1
2022-12-22,24900.0,74980,78.45,1
2022-12-23,24400.0,74360,79.34,0
2022-12-26,24300.0,74510,80.97,0
2022-12-27,24200.0,74480,79.77,0
2022-12-28,24300.0,74420,78.6,1
2022-12-29,22950.0,74360,78.61,0
2023-01-02,22700.0,75150,80.47,0
2023-01-03,22600.0,75490,77.12,0
2023-01-04,23050.0,75770,73.1,1
2023-01-05,23250.0,75800,73.92,1
2023-01-06,23150.0,75110,74.04,0
2023-01-09,23850.0,75550,74.92,1
2023-01-10,23700.0,75380,75.37,0
2023-01-11,23700.0,75490,77.68,0
2023-01-12,23600.0,75570,78.65,0
2023-01-13,24400.0,75870,80.11,1
2023-01-16,24400.0,76290,79.04,0
2023-01-17,24450.0,76200,80.45,1
2023-01-18,24750.0,75900,79.8,1
2023-01-19,24700.0,75850,80.61,0
2023-01-20,24500.0,76530,81.64,0
2023-01-25,24300.0,76600,80.15,0
2023-01-26,24350.0,77100,81.01,1
2023-01-27,24800.0,76380,79.68,1
2023-01-30,24300.0,76410,77.9,0
2023-01-31,24250.0,76030,78.87,0
2023-02-01,24350.0,76500,76.41,1
2023-02-02,24000.0,76890,75.88,0
2023-02-03,23850.0,75890,73.39,0
2023-02-06,23750.0,75640,74.11,0
2023-02-07,23450.0,75810,77.14,0
2023-02-08,23650.0,76000,78.47,1
2023-02-09,23650.0,76280,78.06,0
2023-02-10,23400.0,75800,79.72,0
2023-02-13,23450.0,76210,80.14,1
2023-02-14,23300.0,75910,79.06,0
2023-02-15,23100.0,76100,78.59,0
2023-02-16,23400.0,75800,78.49,1
2023-02-17,23650.0,76220,76.34,1
2023-02-20,23450.0,76600,77.3,0
2023-02-21,23500.0,76500,76.16,1
2023-02-22,23000.0,76750,73.95,0
2023-02-23,23050.0,76300,75.39,1
2023-02-24,23050.0,76330,76.32,0
2023-02-27,23050.0,76500,75.68,0
2023-02-28,22750.0,76830,77.05,0
2023-03-02,23500.0,76990,78.16,1
2023-03-03,23400.0,76840,79.68,0
2023-03-06,23700.0,77100,80.46,1
2023-03-07,23450.0,77030,77.58,0
2023-03-08,23800.0,76810,76.66,1
2023-03-09,23550.0,76950,75.72,0
2023-03-10,23100.0,77750,76.68,0
2023-03-13,23150.0,78130,74.8,1
2023-03-14,22250.0,80000,71.33,0
2023-03-15,22150.0,79330,67.61,0
2023-03-16,22350.0,80570,68.35,1
2023-03-17,22700.0,80560,66.74,1
