종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","4525","65","1.46","211870884875"
"006840","AK홀딩스","KOSPI","기타금융","19400","-330","-1.67","257002683400"
"027410","BGF","KOSPI","기타금융","3875","15","0.39","370902565125"
"282330","BGF리테일","KOSPI","유통업","182300","-1700","-0.92","3150856063800"
"138930","BNK금융지주","KOSPI","기타금융","6910","100","1.47","2252212549860"
"001460","BYC","KOSPI","섬유의복","402500","-9000","-2.19","251407537500"
"001465","BYC우","KOSPI","섬유의복","147900","-600","-0.40","31855441500"
"001040","CJ","KOSPI","기타금융","69900","-1400","-1.96","2039472160200"
"079160","CJ CGV","KOSPI","서비스업","9590","-200","-2.04","457712181710"
"00104K","CJ4우(전환)","KOSPI","기타금융","59800","-1200","-1.97","252745417600"
"000120","CJ대한통운","KOSPI","운수창고업","74800","200","0.27","1706363331200"
"011150","CJ씨푸드","KOSPI","음식료품","3565","-115","-3.13","128093205745"
"011155","CJ씨푸드1우","KOSPI","음식료품","23950","-700","-2.84","4790000000"
"001045","CJ우","KOSPI","기타금융","46050","-50","-0.11","104083269150"
"097950","CJ제일제당","KOSPI","음식료품","274000","500","0.18","4124846964000"
"097955","CJ제일제당 우","KOSPI","음식료품","137000","-100","-0.07","181858321000"
"000590","CS홀딩스","KOSPI","기타금융","60200","400","0.67","69499816400"
"012030","DB","KOSPI","서비스업","2115","-90","-4.08","425482868295"
"016610","DB금융투자","KOSPI","증권","4115","10","0.24","174666890735"
"005830","DB손해보험","KOSPI","보험","74700","-600","-0.80","5288760000000"
"000990","DB하이텍","KOSPI","전기전자","62600","-1300","-2.03","2779351608800"
"000995","DB하이텍1우","KOSPI","전기전자","37200","-5250","-12.37","4178155200"
"139130","DGB금융지주","KOSPI","기타금융","7190","50","0.70","1216158539270"
"001530","DI동일","KOSPI","유통업","21350","-500","-2.29","555968453950"
"000210","DL","KOSPI","화학","43250","-450","-1.03","906341983000"
"001880","DL건설","KOSPI","건설업","13880","-50","-0.36","306099581920"
"000215","DL우","KOSPI","화학","26050","0","0.00","43923295750"
"375500","DL이앤씨","KOSPI","건설업","35900","200","0.56","1389101065700"
"37550L","DL이앤씨2우(전환)","KOSPI","건설업","25150","-150","-0.59","53115567650"
"37550K","DL이앤씨우","KOSPI","건설업","20500","-100","-0.49","43334642500"
"007340","DN오토모티브","KOSPI","전기전자","94700","2700","2.93","946432273500"
"004840","DRB동일","KOSPI","화학","5300","0","0.00","105629000000"
"155660","DSR","KOSPI","철강금속","5130","90","1.79","82080000000"
"069730","DSR제강","KOSPI","철강금속","4900","50","1.03","70560000000"
"017940","E1","KOSPI","유통업","51900","800","1.57","356034000000"
"365550","ESR켄달스퀘어리츠","KOSPI","서비스업","4000","-10","-0.25","852356000000"
"383220","F&F","KOSPI","섬유의복","122100","-1800","-1.45","4677293857500"
"007700","F&F홀딩스","KOSPI","기타금융","20450","100","0.49","799888805150"
"114090","GKL","KOSPI","서비스업","16530","120","0.73","1022474225100"
"078930","GS","KOSPI","기타금융","37000","200","0.54","3437868986000"
"006360","GS건설","KOSPI","건설업","20200","0","0.00","1728746098000"
"001250","GS글로벌","KOSPI","유통업","3000","-10","-0.33","247601292000"
"007070","GS리테일","KOSPI","유통업","23450","200","0.86","2455635270900"
"078935","GS우","KOSPI","기타금융","34050","150","0.44","60773325300"
"012630","HDC","KOSPI","기타금융","6400","0","0.00","382347014400"
"039570","HDC랩스","KOSPI","건설업","8520","220","2.65","221158760520"
"089470","HDC현대EP","KOSPI","화학","4620","-10","-0.22","147378000000"
"294870","HDC현대산업개발","KOSPI","건설업","11670","-10","-0.09","769138541100"
"009540","HD한국조선해양","KOSPI","기타금융","120100","3200","2.74","8499851231600"
"267250","HD현대","KOSPI","기타금융","62600","100","0.16","4944967121000"
"267270","HD현대건설기계","KOSPI","기계","77700","4700","6.44","1530751616100"
"322000","HD현대에너지솔루션","KOSPI","전기전자","38050","-400","-1.04","426160000000"
"042670","HD현대인프라코어","KOSPI","기계","11480","370","3.33","2291447640440"
"267260","HD현대일렉트릭","KOSPI","전기전자","59000","1800","3.15","2126780965000"
"329180","HD현대중공업","KOSPI","운수장비","130600","-400","-0.31","11593768949600"
"097230","HJ중공업","KOSPI","건설업","4220","180","4.46","351417465820"
"014790","HL D&I","KOSPI","건설업","2735","25","0.92","103543273735"
"003580","HLB글로벌","KOSPI","광업","5020","80","1.62","212714764180"
"204320","HL만도","KOSPI","운수장비","52100","800","1.56","2446465952000"
"060980","HL홀딩스","KOSPI","기타금융","36700","950","2.66","373217347000"
"011200","HMM","KOSPI","운수창고업","19120","510","2.74","9350435163520"
"082740","HSD엔진","KOSPI","기계","10250","30","0.29","733325938500"
"003560","IHQ","KOSPI","서비스업","239","0","0.00","57908659872"
"175330","JB금융지주","KOSPI","기타금융","8540","-20","-0.23","1682233914760"
"234080","JW생명과학","KOSPI","의약품","12990","170","1.33","205690856460"
"001060","JW중외제약","KOSPI","의약품","22800","-550","-2.36","520638820800"
"001067","JW중외제약2우B","KOSPI","의약품","60300","-100","-0.17","12416734800"
"001065","JW중외제약우","KOSPI","의약품","30800","-250","-0.81","10328010000"
"096760","JW홀딩스","KOSPI","기타금융","3270","-20","-0.61","237101679930"
"105560","KB금융","KOSPI","기타금융","47550","350","0.74","19186951473600"
"432320","KB스타리츠","KOSPI","서비스업","4610","10","0.22","467519853850"
"002380","KCC","KOSPI","화학","202500","0","0.00","1799510377500"
"344820","KCC글라스","KOSPI","비금속광물","46000","300","0.66","734643552000"
"009070","KCTC","KOSPI","운수창고업","4250","150","3.66","127500000000"
"009440","KC그린홀딩스","KOSPI","기타금융","3925","-80","-2.00","88057296500"
"119650","KC코트렐","KOSPI","기계","2610","-60","-2.25","94835472300"
