일자,언론사,제목,특성추출(가중치순 상위 50개),URL
2022-12-01,OBS,"대한항공, 침대형 프레스티지석 장착 A321neo 도입","대한항공,보잉,항공기,신형기,a321neo,30대,프레스티지석,에어버스,단거리,일본,첨단화,중국,현대,승객들,와이파이,현대화,선제적,여객기,항공사,이번달,90대",http://www.obsnews.co.kr/news/articleView.html?idxno=1375784
2022-12-01,서울신문,대한항공 타면 中 日도 누워서 간다,"대한항공,보잉,30대,항공기,단거리,에어버스,침대석,a321neo,중국,8개,타면,일본,신형기,항공사,90대,eo,유럽,협동체,미주,네오,장거리,인천공항,프레스티지석,좌석,노선,완전",http://www.seoul.co.kr/news/newsView.php?id=20221201017012
2022-12-01,중앙일보,"서울아산병원 의료진, 김건희 만난 캄보디아 소년 직접 데려온다","의료진,서울아산병원,캄보디아,심장병,환아,우심실,김건희,의료계,소아심장,1명,항공기,관계자,비행기,대한항공,간호사,대통령실,한국,40세,폐동맥",https://www.joongang.co.kr/article/25122177
2022-12-01,경기일보,대한항공 인천공항 경제권에 새 엔진MRO 공장 건립 본격화,"인천공항,대한항공,mro,부사장,본격화,유창경,경제권,인천공항홀,장상훈,김경욱,이수근,인천,아틀라스항공,대한한공,이승훈,활성화,공항경제권,인천국제공항,항공우주산학융합원,항공기",https://www.kyeonggi.com/article/20221130580166
2022-12-01,경인일보,대한항공 '영종도 MRO산업' 적극 육성,"대한항공,인천공항,mro,부사장,영종도,항공우주산학융합원,부천,항공기,엔진정비,경쟁력,항공사,융합원,기업들,이수근,유창경,엔진정비센터",http://www.kyeongin.com/main/view.php?key=20221130010005591
2022-12-01,중앙일보,"[Biz & Now] 대한항공, 침대형 좌석 탑재한 에어버스 A321네오 도입","에어버스,네오,대한항공,일본,중국,항공기,a321네오,180도,탑재,좌석,규모,노선,동남아,소형,사진,침대,투입",https://www.joongang.co.kr/article/25122126
2022-12-01,동아일보,동남아-日 가는 노선에도 180도 눕는 비즈니스석,"대한항공,항공기,a321neo,180도,항공사,와이파이,유럽,에어버스,30대,10cm,에어스페이스,중국,단거리,차별화,lcc,8개,아시아",https://www.donga.com/news/article/all/20221130/116781807/1
2022-12-02,아시아경제,[e공시 눈에 띄네]1일 장 마감 후 주요공시,"대표이사,한진칼,한진칼보유,미국,변압기,투자기관,230억,노동환,김상규,남동배,한인호,설명회,대광건영,컨슈머,모아건설산업,85억,현대차,대한항공,35만,일신,일신상,기업설명회,62억,공급계약,사조동아원,성신양회,리지앙,322억,삼성생명,제룡전기,투자자,주요공시,더블유아이",https://view.asiae.co.kr/article/2022120208125991028
2022-12-02,헤럴드경제,9부능선 넘은 대한항공 아시아나 “내년엔 순풍”,"대한항공,미국,영국,기업결합심사,항공사,cma,자문사,일본,김지윤,아시아나항공,유럽연합,간담회,신고서,각국",http://biz.heraldcorp.com/view.php?ud=20221202000283
2022-12-02,한국일보,"당신이 자주 쓰는 말이, 당신이다 [삶과 문화]","우리나라,갑질,말들,티에라,꼰대,덴마크어,대한항공,옥스퍼드,단어들,마미흘라피나타파이,레스,레스칼리,esprit,에스프리,de,프랑스어,escalier,남들,자기계발서,소수자,고유명사,이바시키나,습관화,감수성,제공자,미국,감각적,섬네일,소속감,마리,뮈오타하페이,노르웨이,푸에고,중국,뉴욕타임스,개저씨,시간date,핀란드,pe,계발서,유튜브",https://hankookilbo.com/News/Read/A2022120209590003305
