일자,언론사,제목,특성추출(가중치순 상위 50개),URL
2022-07-01,전자신문,대한항공 코로나19 엔데믹 기념 캠페인 실시,"대한항공,국내선,엔데믹,상업자,밀라노,항공권,코로나19,직원들,뒷면,현대카드사,제휴사,예약・구매,진청색,청자색,업종별,보딩패스,라스베이거스,비엔나,신세계",http://www.etnews.com/20220701000303
2022-07-01,YTN,"[기업] 대한항공, 엔데믹 시대 기념 하계 유니폼 특별 제작","대한항공,엔데믹,풍토병,코로나19,ytn,특별,기념,유니폼,제작,하계,시대,접객,현장,근무,착용,항공,여행,직원,제목,업무,캠페인",https://www.ytn.co.kr/_ln/0102_202207011551230541
2022-07-01,부산일보,"‘모객 경쟁’ 항공사들, 홍보 이벤트도 다양화 새 유니폼에서 무제한 항공권까지 등장","항공권,필리핀항공,대한항공,국제선,국내선,스마파,에어서울,보라카이,인천,홍보영상,엔데믹,홈페이지,코로나19",http://www.busan.com/view/busan/view.php?code=2022070112452108058
2022-07-01,헤럴드경제,대한항공 직원 유니폼에 안긴 현대카드 디자인,"대한항공,대한항공카드,현대카드,청자색,이태형,엔데믹,shirt,pique,캠페인명,fly,pass,흰색,진청색,캘리그라피,정체성,피케,탑승권,승무원,endemic,직원들,유니폼,디자인,직원,특별,색상,제작,형태,프로젝트,협업,성공,착용,예정,상의,표현,정체",http://biz.heraldcorp.com/view.php?ud=20220701000400
2022-07-01,전자신문,"현대카드, 대한항공카드 담은 '대한항공 직원 특별 유니폼' 제작","대한항공,대한항공카드,현대카드,청자색,디자,피케,생동감,어게,캠페인명,엔데믹,캘리그라피,홈페이지,흰색,진청색,탑승권,승무원,fly,pass,직원들,유니폼,디자인,직원,특별,출국,색상,제작,이벤트,최대,셔츠,캠페인",http://www.etnews.com/20220701000050
2022-07-01,파이낸셜뉴스,"현대카드x대한항공, ‘대한항공카드’ 기반 유니폼 제작 협업","대한항공,대한항공카드,현대카드,청자색,디자,피케,엔데믹,생동감,캠페인명,fly,홈페이지,흰색,진청색,캘리그라피,정체성,pass,탑승권,승무원,직원들,현대카드x대한항공,유니폼,디자인,직원,출국,특별,제작,협업,색상,카드",http://www.fnnews.com/news/202207011023139711
2022-07-01,서울경제,"현대카드x대한항공, ‘대한항공카드’ 디자인 기반 유니폼 제작","대한항공,대한항공카드,현대카드,디자,청자색,항공사,plcc,피케,비치타올,생동감,엔데믹,네임택,캠페인명,fly,흰색,진청색,캘리그라피,차별화,정체성,탑승권,승무원",http://www.sedaily.com/NewsView/268CPNCYZY
2022-07-01,헤럴드경제,"대한항공, 코로나19 엔데믹 캠페인 새 유니폼 입는다","대한항공,엔데믹,코로나19,상업자,혹서기,밀라노,항공권,국내선,청자색,흰색,정석,라스베이거스,진청색,제휴사,현대카드사,비엔나,신세계,신용카드,직원들,보딩패스,관계자,plcc,유니폼,고객,할인",http://biz.heraldcorp.com/view.php?ud=20220701000085
2022-07-01,매일경제,"대한항공, 코로나19 엔데믹 시대 ""다시, 함께, 날아"" 캠페인 실시","대한항공,국내선,코로나19,상업자,밀라노,코로나바이러스,달간,항공권,혹서기,고객들,엔데믹,직원들,제휴사,진청색,청자색",http://news.mk.co.kr/newsRead.php?no=576694&year=2022
2022-07-01,아시아경제,"대한항공, 코로나19 엔데믹 맞이 '다시, 함께, 날아' 캠페인 진행","대한항공,국내선,엔데믹,상업자,밀라노,혹서기,항공권,고객들,코로나19,직원들,제휴사,진청색,청자색,보딩패스,업종별,라스베이거스,비엔나,흰색",https://view.asiae.co.kr/article/2022070108540016766
