,URL,시간
0,https://news.kbs.co.kr/news/view.do?ncd=7640897&amp;ref=DA,2023-04-02 12:02
1,https://news.kbs.co.kr/news/view.do?ncd=7641883&amp;ref=DA,2023-04.03 20:01
2,https://news.kbs.co.kr/news/view.do?ncd=7642054&amp;ref=DA,2023-04.03 22:02
3,https://news.kbs.co.kr/news/view.do?ncd=7642222&amp;ref=DA,2023-04.04 06:57
4,http://www.obsnews.co.kr/news/articleView.html?idxno=1392651,  2023-04.03 10:29
5,https://news.sbs.co.kr/news/endPage.do?news_id=N1007140303&plink=ORI&cooper=ETC,작성2023-04.04 07:53조회조회수
6,https://www.ytn.co.kr/_ln/0107_202304012111237240,2023-04-01일 21:11분
7,https://www.ytn.co.kr/_ln/0103_202304020351255839,2023-04-02일 03:51분
8,https://www.ytn.co.kr/_ln/0103_202304020211082502,2023-04-02일 02:11분
9,https://www.ytn.co.kr/_ln/0107_202304032213268100,2023-04-03일 22:13분
10,https://www.ytn.co.kr/_ln/0103_202304031325221462,2023-04-03일 13:25분
11,https://www.ytn.co.kr/_ln/0102_202304030953291548,2023-04-03일 09:53분
12,https://www.ytn.co.kr/_ln/0107_202304042001376858,2023-04-04일 20:01분
13,https://www.ytn.co.kr/_ln/0107_202304040456195495,2023-04-04일 04:56분
14,https://www.ytn.co.kr/_ln/0115_202304051037411309,2023-04-05일 10:37분
15,https://www.ytn.co.kr/_ln/0115_202304051144366160,2023-04-05일 11:44분
16,https://www.ytn.co.kr/_ln/0103_202304052132258525,2023-04-05일 21:32분
17,https://www.kyeonggi.com/article/20230403580353,2023-04-03 21:56
18,https://www.kyeonggi.com/article/20230403580048,2023-04-03 13:37
19,https://www.kyeonggi.com/article/20230404580225,2023-04-04 18:44
20,http://www.kyeongin.com/main/view.php?key=20230403010000478,2023-04-03 22:182023-04-03 22:19
21,http://www.kyeongin.com/main/view.php?key=20230402010000077,2023-04-02 19:01 아이콘ⓘ2023-04-03 16면
22,http://www.kyeongin.com/main/view.php?key=20230404010000655,2023-04-04 17:392023-04-04 19:41 아이콘ⓘ2023-04-05 16면
23,https://www.khan.co.kr/sports/basketball-volleyball/article/202304032329015, :2023-04.03 23:29 :2023-04.03 23:30
24,https://www.khan.co.kr/sports/basketball-volleyball/article/202304032329025, :2023-04.03 23:29 :2023-04.03 23:30
25,https://www.khan.co.kr/travel/national/article/202304030900001, :2023-04.03 09:00 :2023-04.03 09:05
26,https://www.khan.co.kr/national/national-general/article/202304031106001, :2023-04.03 11:06
27,https://www.khan.co.kr/sports/basketball-volleyball/article/202304042239015, :2023-04.04 22:39
28,https://news.kmib.co.kr/article/view.asp?arcid=0018121271&code=61141111&cp=kd,2023-04-03 16:00
29,https://news.kmib.co.kr/article/view.asp?arcid=0018125771&code=61141111&cp=kd,2023-04-04 17:22
30,https://news.kmib.co.kr/article/view.asp?arcid=0018122349&code=61161911&cp=kd,2023-04-04 00:05
31,https://news.kmib.co.kr/article/view.asp?arcid=0924294996&code=11151400,2023-04-04 04:06
32,https://news.kmib.co.kr/article/view.asp?arcid=0924295075&code=11121100,2023-04-04 04:07
33,http://www.naeil.com/news_view/?id_art=456400,2023-06-27일  |  1면
34,http://www.daejonilbo.com/news/articleView.html?idxno=2056139,사회사건·법조2023-04.03 09:47
35,https://www.donga.com/news/Sports/article/all/20230403/118664390/1,2023-04-03 21:47
36,https://www.donga.com/news/Society/article/all/20230403/118650674/2,2023-04-03 09:44
37,https://www.donga.com/news/Economy/article/all/20230404/118672888/1,2023-04-04 11:57
38,http://www.dt.co.kr/contents.html?article_no=2023040202109932031005&ref=jeadan, :2023-04-02 14:26
39,http://www.dt.co.kr/contents.html?article_no=2023040302109932031005&ref=jeadan, :2023-04-03 14:33
40,http://www.dt.co.kr/contents.html?article_no=2023040302109963080001&ref=jeadan, :2023-04-03 09:01
41,http://www.dt.co.kr/contents.html?article_no=2023040502109932031006&ref=jeadan, :2023-04-05 11:47
42,http://news.moneytoday.co.kr/view/mtview.php?no=2023040216225337396&type=2,2023-04.03 06:00
43,http://news.moneytoday.co.kr/view/mtview.php?no=2023040511005750461&type=2,2023-04.05 11:22
44,http://www.munhwa.com/news/view.html?no=2023040201039910226005,023-04-02 14:37ОїЕЅРЬЦЎ2023-04-02 14:45
45,http://www.munhwa.com/news/view.html?no=2023040401032739083002,023-04-04 11:31ОїЕЅРЬЦЎ2023-04-04 11:38
46,https://www.busan.com/view/busan/view.php?code=2023040318322122350,                     :2023-04-03 18:36:00   :2023-04-03 19:00:29                    
47,https://www.busan.com/view/busan/view.php?code=2023040318322105958,                     :2023-04-03 18:35:59                    
48,https://www.busan.com/view/busan/view.php?code=2023040320102094769,                     :2023-04-03 23:06:41   :2023-04-04 08:34:19                    
49,https://www.busan.com/view/busan/view.php?code=2023040309104505372,                     :2023-04-03 09:10:57   :2023-04-03 18:57:36                    
50,https://www.busan.com/view/busan/view.php?code=2023040310592334130,                     :2023-04-03 11:24:13                    
51,https://www.busan.com/view/busan/view.php?code=2023040411231922660,                     :2023-04-04 11:33:42                    
52,https://www.busan.com/view/busan/view.php?code=2023040511353888662,                     :2023-04-05 11:36:04   :2023-04-05 17:52:37                    
53,http://www.sedaily.com/NewsView/29O5T4U4ZL,2023-04-03 19:30
54,http://www.sedaily.com/NewsView/29O5THQ535,2023-04-03 22:40
55,http://www.segye.com/content/html/2023/04/02/20230402509980.html, :2023-04-02 13:57:44  :2023-04-02 13:57:44
56,http://www.segye.com/content/html/2023/04/03/20230403525527.html, :2023-04-03 22:21:52  :2023-04-04 04:10:23
57,http://www.segye.com/content/html/2023/04/02/20230402513205.html, :2023-04-03 06:00:00  :2023-04-02 20:49:15
58,http://www.segye.com/content/html/2023/04/03/20230403507615.html, :2023-04-03 09:55:09  :2023-04-03 09:55:08
59,http://www.segye.com/content/html/2023/04/04/20230404512756.html, :2023-04-04 12:49:42  :2023-04-04 12:49:42
60,http://www.segye.com/content/html/2023/04/03/20230403526038.html, :2023-04-04 06:00:00  :2023-04-04 00:37:00
61,https://view.asiae.co.kr/article/2023040301152251735,2023-04.03 06:00
62,https://www.ajunews.com/view/20230403084326549,2023-04-03 09:45
63,https://www.ajunews.com/view/20230405161404960,2023-04-05 16:15
64,https://www.joongang.co.kr/article/25151847,
65,https://www.joongang.co.kr/article/25152244,
66,https://www.joongang.co.kr/article/25152252,
