일자,언론사,제목,특성추출(가중치순 상위 50개),URL,nouns,주식일자,종가,금종가,유가종가,target
2022-05-01,아시아경제,"아시아나항공, 게이트 그룹 고소 ""기내식 독점 공급권 헐값""","기내식,아시아나항공,경영진,스위스,계열사,순이익,서울중앙지검,게이트고메그룹,사업권,항공업계,인수권부,신주인수권부사채,특정경제범죄가중처벌법상,항공업,아시아나,금호아시아그룹,박삼구,대한항공,1333억,회방",https://view.asiae.co.kr/article/2022050119353768754,아시아나 항공 게이트 그룹 고소 기내식 독점 공급 헐값,2022-05-02,29950,76700,105.17,0
2022-05-01,서울신문,"아시아나항공, 기내식 공급사 경영진 고소","기내식,아시아나항공,스위스,경영진,계열사,순이익,서울중앙지검,인수권부,가능성,신주인수권부사채,특정경제범죄가중처벌법상,1333억,박삼구,대한항공,금호아시아나그룹,사업권,공급사,bw,그룹,회장,혐의,고소",http://www.seoul.co.kr/news/newsView.php?id=20220501500136,아시아나 항공 기내식 급사 영진 고소,2022-05-02,29950,76700,105.17,0
2022-05-01,세계일보,"아시아나항공, 박삼구 전 회장 기내식 독점 계약 업체 고소","기내식,아시아나항공,경영진,계열사,스위스,서울중앙지검,순이익,박삼구,사업권,16000억,인수권부,신주인수권부사채,특정경제범죄가중처벌법상,금호아시아나그룹,대한항공,1333억,그룹전,bw,계약,게이트,회장",http://www.segye.com/content/html/2022/05/01/20220501510126.html,아시아나 항공 박삼구 회장 기내식 독점 계약 업체 고소,2022-05-02,29950,76700,105.17,0
2022-05-01,헤럴드경제,"아시아나항공, 스위스 게이트그룹 경영진 고소 기내식 공급 계약 무효 소송도","아시아나항공,기내식,스위스,경영진,계열사,순이익,서울중앙지검,소송도,사업권,인수권부,신주인수권부사채,특정경제범죄가중처벌법상,금호아시아나그룹,박삼구,1333억,대한항공,회장,그룹",http://biz.heraldcorp.com/view.php?ud=20220501000264,아시아나 항공 스위스 게이트 그룹 영진 고소 기내식 공급 계약 무효 소송도,2022-05-02,29950,76700,105.17,0
2022-05-01,한국경제," 아시아나 ""기내식 30년 계약 무효"" 게이트그룹 고소","아시아나항공,게이트그룹,기내식,경영진,금호,대한항공,테마섹,만큼,관계자,워크아웃,싱가포르,배임혐의,아시아태평양,스위스,순이익",https://www.hankyung.com/economy/article/2022050152661,아시아나 기내식 계약 무효 게이트 그룹 고소,2022-05-02,29950,76700,105.17,0
2022-05-02,중앙일보,'200억 들여 키웠는데...' 올해 공군 조종사 60명 대한항공 이직,"조종사,대한항공,코로나19,전투기,민항사,조종사들,기종별,코로나바이러스,아시아나항공,1명,공군사관학교",https://www.joongang.co.kr/article/25068159,올해 공군 조종사 대한항공 이직,2022-05-03,29950,75940,102.41,0
2022-05-02,충북일보,대한항공 탑승객 '청원생명쌀' 먹는다,"대한항공,청원생명쌀,기내식,청원,소비자,청주,청주시,납품량,탑승객,로하스,고품질,기념식,상차,코로나19,지역쌀,5t,하이닉스,단일화,공사업,청원생명농협,사람들,한국,공동방제,충북일보,항공권,청주대표쌀,한국표준협회,청원생명농협쌀조합공사업법인,정상화,항공사,생명쌀,대표쌀,관계자",https://www.inews365.com/news/article.html?no=713091,대한항공 탑승객 청원 생명,2022-05-03,29950,75940,102.41,0
2022-05-02,동아일보,올해 공군 조종사 60명 대한항공 이직 민항사 취업행렬 재개,"조종사,대한항공,민항사,7명,조종사들,전투기,코로나19,기종별,코로나바이러스,아시아나항공,가속화,공군사관학교,업무부담,의무복무기간",https://www.donga.com/news/article/all/20220502/113192622/1,올해 공군 조종사 대한항공 이직 항사 취업 행렬 재개,2022-05-03,29950,75940,102.41,0
2022-05-02,중앙일보,대한항공 미주 취항 50주년  승객 연 300만명 시대,"대한항공,미국,미주,항공기,la,항공사,보잉,태평양,하와이,여객기,서울,코로나19,대한민국",https://www.joongang.co.kr/article/25068124,대한항공 미주 취항 주년 승객 시대,2022-05-03,29950,75940,102.41,0
2022-05-02,한국경제,역사 저편으로 사라지는 코로나發 '무착륙 관광비행',"국제선,코로나19,항공사,장거리,대한항공,제주항공,아시아나항공,항공기,면세품,항공사들,항공업,수학여행,관계자,저비용항공사,교통부,에어서울,여행사,면허기간,저비",https://www.hankyung.com/economy/article/202205027398i,역사 저편 코로나 착륙 관광 비행,2022-05-03,29950,75940,102.41,0
