회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
(주)DB하이텍,000990,2017/12,12000,14.03,6.76,2.58,1.24,5.73,2.76,1.54,0.74,3.71,18.46,977575054,74401732,111213462,54428000,679737744,142353689
(주)DB하이텍,000990,2018/12,10850,9.74,4.68,1.84,0.88,5.07,2.44,1.38,0.67,3.73,19.32,1050696487,95087399,102452079,52810000,669279136,112884303
(주)DB하이텍,000990,2019/12,27600,10.6,3.67,2.12,0.73,7.99,2.76,1.59,0.55,5.36,20.4,1089400761,121159865,112967914,55296000,807416423,181155872
(주)DB하이텍,000990,2020/12,51000,14.05,3.9,3.07,0.85,7.5,2.08,2.49,0.69,6.85,23,1179256936,165657642,119696018,58511000,935919766,239188805
(주)DB하이텍,000990,2021/12,72700,11.12,6.84,3.3,2.03,9.01,5.54,2.9,1.78,5.94,33.34,1548223597,316919978,136246175,64222000,1214682040,398950429
(주)DB하이텍,000990,2022/12,37150,6.81,2.77,2.43,0.99,5.22,2.13,2.27,0.92,1.84,40.72,2120023184,558546974,164630309,76450000,1675287534,768587460
(주)HJ중공업,097230,2017/12,3310,0,0,0.99,0.54,1.5,0.82,0.32,0.17,19.3,-40.75,3312303000,-299028000,105733000,1854000,1737428000,86683000
(주)HJ중공업,097230,2018/12,1655,0,0,0,0,2.34,0.95,0.24,0.1,0,0,2388369000,-963474000,265827000,2209000,1750954000,-66005000
(주)HJ중공업,097230,2019/12,4985,0,0,3.63,0.32,6.32,0.56,0.55,0.05,14.52,0,2465650000,-73654000,93343000,1734000,1609530000,77055000
(주)HJ중공업,097230,2020/12,7320,11.15,3.91,2.68,0.94,3.38,1.18,0.5,0.18,18.1,26.97,2189125000,76553000,78734000,2034000,1694634000,51087000
(주)HJ중공업,097230,2021/12,8040,0,0,2.03,1.3,0,0,0.51,0.33,0,-37.2,2381044000,-139995000,88342000,1317000,1705790000,-109186000
(주)HJ중공업,097230,2022/12,3915,0,0,1.84,0.7,8.4,3.22,0.39,0.15,40.85,-12.28,2563983000,-50187000,89937000,1398000,1787366000,6360000
(주)MH에탄올,023150,2017/12,6340,10.39,7.36,0.99,0.7,5.7,4.04,1.27,0.9,7,9.23,107437079,5903108,3240303,0,48270464,10452914
(주)MH에탄올,023150,2018/12,5890,7.8,5.07,0.78,0.51,7.67,4.98,1.09,0.71,7.62,9.84,109656889,6553371,3583247,0,46943080,9028515
(주)MH에탄올,023150,2019/12,6140,0,0,0.91,0.71,8.03,6.25,1.1,0.85,8.65,-7.82,101058662,-5004935,3748048,0,46992295,7828586
(주)MH에탄올,023150,2020/12,8410,87.73,37.65,1.85,0.79,13.28,5.7,1.98,0.85,9.87,1.98,97515830,1156387,4129662,0,51277355,8238755
(주)MH에탄올,023150,2021/12,10200,29.13,11.35,2.62,1.02,70.86,27.62,3.14,1.22,20.4,8.54,98740736,4938622,4480914,0,45892137,3675428
(주)MH에탄올,023150,2022/12,7610,17.72,9.28,1.68,0.88,0,0,1.96,1.03,42.2,9.44,110116900,5685051,4114559,0,51400289,585536
(주)SH에너지화학,002360,2017/12,1405,22.84,16.66,2.03,1.48,12.48,9.11,1.1,0.8,8.38,8.53,123261552,8905104,9771675,82098,184672638,13189274
(주)SH에너지화학,002360,2018/12,1100,74.92,32.62,2.06,0.9,48.38,21.06,1.15,0.5,19.56,2.64,120895795,2766802,8883270,96821,180753289,2811557
(주)SH에너지화학,002360,2019/12,1020,0,0,1.75,1.02,11.61,6.75,1.22,0.71,849.43,-3.13,121126250,-3151629,8663622,100899,138161816,-2363194
(주)SH에너지화학,002360,2020/12,835,0,0,2.17,0.62,51.03,14.66,2.12,0.61,0,-7.71,116570206,-7218778,8066987,118740,91354318,-7104116
(주)SH에너지화학,002360,2021/12,973,213.18,122.6,1.79,1.03,0,0,1.15,0.66,31.82,0.83,118423520,753350,9088334,0,139283569,721605
(주)SH에너지화학,002360,2022/12,821,160.64,74.09,2.17,1,0,0,1.23,0.57,28.99,1.34,123343925,1231472,9577695,0,160633871,548817
(주)SIMPAC,009160,2017/12,4130,21.2,16.19,0.68,0.52,0,0,0.74,0.57,7.78,3.15,343005145,7133940,20694784,0,203150228,13971089
(주)SIMPAC,009160,2018/12,2440,2.44,0.93,0.38,0.14,4.19,1.6,0.57,0.22,11.15,19.65,628334175,62381304,18072612,0,268863854,7215888
(주)SIMPAC,009160,2019/12,2945,23.11,13.08,0.64,0.36,5.89,3.33,0.68,0.38,9.89,2.77,608693104,11507259,26405466,0,391970769,8438305
(주)SIMPAC,009160,2020/12,2470,7.45,4.14,0.46,0.25,451.62,251.07,0.72,0.4,11.28,6.16,656622388,26301694,20822065,0,272087150,6895814
(주)SIMPAC,009160,2021/12,6410,9.89,2.45,1.36,0.34,14.08,3.49,1.32,0.33,4.32,14.12,796759604,65314306,38993358,0,490855059,80178305
(주)SIMPAC,009160,2022/12,4685,12.87,6.07,1.21,0.57,26.7,12.6,1.21,0.57,3.27,9.43,784010055,47519888,47604633,0,504474738,87061651
(주)SNT에너지,100840,2017/12,16100,32.32,20.87,0.64,0.41,0,0,0.8,0.52,2.64,1.98,300266693,4581777,18839719,747653,184091945,19201911
(주)SNT에너지,100840,2018/12,11050,68.56,41.57,0.55,0.33,8.67,5.26,0.9,0.54,123.89,0.78,280991534,1825479,22658363,683800,139516396,-1892191
(주)SNT에너지,100840,2019/12,19800,10.43,5.41,0.64,0.33,0,0,0.75,0.39,7.79,6.12,331391237,14578960,17851276,732767,202822913,14679703
(주)SNT에너지,100840,2020/12,15650,15.88,8.18,0.64,0.33,2.25,1.16,0.65,0.33,2.21,3.9,332066179,9407217,16313529,187866,229991237,22712569
(주)SNT에너지,100840,2021/12,18550,16.42,8.76,0.88,0.47,7.6,4.05,1.28,0.69,3.71,5.37,322124195,12937903,14699511,0,165465874,13710198
(주)SNT에너지,100840,2022/12,18650,31.13,16.14,0.84,0.44,10.48,5.43,1.11,0.58,29.57,2.64,385516446,6511262,16785672,0,182667959,2286564
(주)SNT홀딩스,036530,2017/12,15750,69.81,54.44,0.69,0.54,47.1,36.73,39.27,30.62,43.53,0.98,425435423,4172419,2015960,0,7417869,5401909
(주)SNT홀딩스,036530,2018/12,13000,41.82,28.32,0.62,0.42,38.86,26.31,35.66,24.15,38.53,1.47,422804813,6218079,1900080,0,7292112,5392033
(주)SNT홀딩스,036530,2019/12,15450,29.1,20.64,0.66,0.47,26.64,18.89,24.42,17.32,27.67,2.2,417172874,9244252,2024424,0,11015928,8991504
(주)SNT홀딩스,036530,2020/12,14900,11.93,7.14,0.66,0.39,11.95,7.15,10.82,6.47,10.45,5.46,423961201,22951239,2336659,0,25309708,22973048
(주)SNT홀딩스,036530,2021/12,17600,23.61,14.19,0.93,0.56,23.29,14.01,20.66,12.42,17.04,3.9,425705145,16540428,2395739,0,18896929,16501190
(주)SNT홀딩스,036530,2022/12,15700,18.68,11.4,0.83,0.51,18.52,11.3,16.78,10.24,13.42,4.43,434669253,19026274,2435995,0,21175696,18739701
(주)STX,011810,2017/12,23850,11.28,0.79,89.15,6.26,40.4,2.84,2.38,0.17,20.72,0,520393000,336179000,23434000,0,1595494000,30170000
(주)STX,011810,2018/12,11750,142.82,40.18,11.95,3.36,0,0,0.54,0.15,0,9.4,446758000,5024000,17055000,0,1329890000,-6902000
(주)STX,011810,2019/12,8010,0,0,7.88,2.79,30.55,10.84,0.31,0.11,0,-65.84,462734000,-37142000,26114000,0,1237876000,-13697000
(주)STX,011810,2020/12,5600,0,0,7.04,3.34,2.57,1.22,0.22,0.1,0,-43.36,362854000,-16578000,21325000,0,788462000,-7439000
(주)STX,011810,2021/12,4100,0,0,6.68,1.51,0,0,0.6,0.14,22.89,-37.55,389174000,-16136000,18573000,0,647804000,7736000
(주)STX,011810,2022/12,5500,0,0,5.85,2.05,0,0,0.27,0.1,45.6,-29.15,376964000,-14969000,25011000,0,879729000,1979000
(주)TCC스틸,002710,2017/12,1890,0,0,0.71,0.47,0,0,0.18,0.12,14.62,-2.56,248896237,-2328706,22532022,0,333762378,6759804
(주)TCC스틸,002710,2018/12,2000,7.99,4.81,0.64,0.39,4.33,2.61,0.17,0.1,7.54,8.05,268135677,7565000,14196981,0,351301866,16306122
(주)TCC스틸,002710,2019/12,2720,34.42,21.21,0.73,0.45,0,0,0.2,0.12,10.29,2.04,270265082,1996130,14356868,0,339334364,12657106
(주)TCC스틸,002710,2020/12,5290,0,0,1.51,0.25,0,0,0.44,0.07,31.84,-3.24,261204640,-3176050,14487393,0,323435107,2414062
(주)TCC스틸,002710,2021/12,9680,8.64,2.92,2.08,0.7,38.63,13.06,0.61,0.21,10.76,25.64,308992347,28951451,16776978,0,407836319,23158320
(주)TCC스틸,002710,2022/12,9350,16.12,8.29,2.24,1.15,0,0,0.71,0.36,8.31,15.4,433842077,23192371,27159789,0,527359655,42909458
(주)강원랜드,035250,2017/12,34800,19.36,15.86,2.56,2.1,18.16,14.88,5.28,4.32,12.07,12.94,4182527382,437096330,281945764,64234,1602901764,535824585
(주)강원랜드,035250,2018/12,32000,24.65,18.2,2.15,1.59,20.02,14.79,5.1,3.77,13.61,8.39,4229630541,297320114,274005028,49171,1436042435,434851737
(주)강원랜드,035250,2019/12,29600,22.02,17.63,2.09,1.67,18.07,14.46,4.87,3.9,11.04,9.19,4436461953,335609508,280523986,60061,1517612252,502725264
(주)강원랜드,035250,2020/12,23500,0,0,1.96,1.06,0,0,13.33,7.17,0,-8.01,3635973900,-278763195,363985953,8215,477474858,-430879909
(주)강원랜드,035250,2021/12,24050,0,0,1.95,1.43,29.49,21.53,8.06,5.88,191.74,-0.37,3817618525,-11910505,113415715,10650,787377362,-52800541
(주)강원랜드,035250,2022/12,23200,52.89,41.72,1.84,1.45,14.6,11.52,4.83,3.81,16.67,3.48,4157624144,115887555,130753710,72608,1269418094,217938432
(주)갤럭시아에스엠,011420,2017/12,2935,0,0,2.63,1.43,0,0,2.72,1.48,0,-13.83,48958128,-5899738,3179800,0,36917656,-3330404
(주)갤럭시아에스엠,011420,2018/12,1660,0,0,3.72,1.31,0,0,4.29,1.51,0,-46.6,33337692,-15678085,4605442,0,22030258,-6687587
(주)갤럭시아에스엠,011420,2019/12,1485,0,0,4.85,1.92,120.21,47.75,3.45,1.37,27.74,-5.66,28241598,-1375316,2571538,0,28732679,-776659
(주)갤럭시아에스엠,011420,2020/12,1430,63.84,19.4,3.24,0.98,21.89,6.65,3.21,0.98,12.23,4.63,28554685,983909,1498577,0,19539594,1375120
(주)갤럭시아에스엠,011420,2021/12,3055,28.25,10.44,3.28,1.21,64.52,23.84,3.6,1.33,16.04,13.69,40900713,3681735,4422947,0,28899467,3452415
