회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
(주)KAL호텔네트워크,029255,2012/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2013/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2014/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2015/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2016/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2017/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2018/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2019/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2020/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2021/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)KAL호텔네트워크,029255,2022/12,095501,  숙박업,2001/05/16,0000/00/00,10,UQ
(주)LG경영개발원,018261,2012/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2013/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2014/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2015/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2016/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2017/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2018/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2019/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2020/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2021/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)LG경영개발원,018261,2022/12,137002,  연구개발업,1986/04/01,0000/00/00,10,UQ
(주)NH무역,017587,2012/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2013/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2014/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2015/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2016/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2017/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2018/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2019/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2020/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2021/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)NH무역,017587,2022/12,074603,  도매 및 상품 중개업,1990/06/15,0000/00/00,10,UQ
(주)STX종합기술원,060652,2012/12,137001,  연구개발업,2010/11/18,0,10,UQ
(주)TAPEX,010942,2012/12,032202,  고무 및 플라스틱제품 제조업,1994/04/15,0000/00/00,20,UQ
(주)TAPEX,010942,2013/12,032202,  고무 및 플라스틱제품 제조업,1994/04/15,0000/00/00,20,UQ
(주)TAPEX,010942,2014/12,032202,  고무 및 플라스틱제품 제조업,1994/04/15,0000/00/00,20,UQ
(주)TAPEX,010942,2015/12,032202,  고무 및 플라스틱제품 제조업,1994/04/15,0000/00/00,30,UQ
(주)TAPEX,010942,2016/12,032202,  고무 및 플라스틱제품 제조업,1994/04/15,0000/00/00,10,UQ
(주)갤럭시아디스플레이,056510,2012/12,032602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",2005/12/15,0,10,UQ
(주)경기용인테크노밸리,080224,2016/12,126801,  부동산업,2015/06/05,0,,NA
(주)경기용인테크노밸리,080224,2017/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경기용인테크노밸리,080224,2018/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경기용인테크노밸리,080224,2019/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경기용인테크노밸리,080224,2020/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경기용인테크노밸리,080224,2021/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경기용인테크노밸리,080224,2022/12,126801,  부동산업,2015/06/05,0,10,UQ
(주)경우,085104,2017/12,074601,  도매 및 상품 중개업,1989/06/20,0,10,NA
(주)경우,085104,2018/12,074601,  도매 및 상품 중개업,1989/06/20,0,10,UQ
(주)경우,085104,2019/12,074601,  도매 및 상품 중개업,1989/06/20,0,10,UQ
(주)공영홈쇼핑,075931,2016/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2017/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2018/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2019/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2020/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2021/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)공영홈쇼핑,075931,2022/12,074709,  소매업; 자동차 제외,2015/03/05,0,10,UQ
(주)광영토건,013084,2012/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2013/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2014/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2015/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2016/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2017/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2018/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2019/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2020/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2021/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)광영토건,013084,2022/12,064101,  종합 건설업,1980/02/06,0000/00/00,10,UQ
(주)그린카,082405,2017/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린카,082405,2018/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린카,082405,2019/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린카,082405,2020/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린카,082405,2021/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린카,082405,2022/12,147601,  임대업; 부동산 제외,2009/12/12,0,10,UQ
(주)그린환경기술,043625,2019/12,053802,"  폐기물 수집, 운반, 처리 및 원료 재생업",1999/05/20,0000/00/00,10,UQ
(주)그린환경기술,043625,2020/12,053802,"  폐기물 수집, 운반, 처리 및 원료 재생업",1999/05/20,0000/00/00,10,UQ
(주)그린환경기술,043625,2021/12,053802,"  폐기물 수집, 운반, 처리 및 원료 재생업",1999/05/20,0000/00/00,10,UQ
(주)그린환경기술,043625,2022/12,053802,"  폐기물 수집, 운반, 처리 및 원료 재생업",1999/05/20,0000/00/00,10,UQ
(주)금강레저,010188,2012/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2013/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2014/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2015/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2016/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2017/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2018/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2019/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2020/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2021/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)금강레저,010188,2022/12,189101,  스포츠 및 오락관련 서비스업,1989/08/01,0000/00/00,10,UQ
(주)김해테크노밸리,069054,2013/12,126801,  부동산업,2009/09/01,0,20,NA
(주)김해테크노밸리,069054,2014/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)김해테크노밸리,069054,2015/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)김해테크노밸리,069054,2016/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)김해테크노밸리,069054,2017/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)김해테크노밸리,069054,2018/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)김해테크노밸리,069054,2019/12,126801,  부동산업,2009/09/01,0,10,UQ
(주)나눔누리,092912,2019/12,147402,  사업시설 관리 및 조경 서비스업,2012/03/21,0,10,NA
(주)나눔누리,092912,2020/12,147402,  사업시설 관리 및 조경 서비스업,2012/03/21,0,10,UQ
