회사명,거래소코드,회계년도,감사의견코드
(유)에스케이씨에보닉페록사이드코리아,093338,2019/12,NA
(유)에스케이씨에보닉페록사이드코리아,093338,2020/12,UQ
(유)에스케이씨에보닉페록사이드코리아,093338,2021/12,UQ
(유)에스케이씨에보닉페록사이드코리아,093338,2022/12,UQ
(유)연세,093779,2019/12,NA
(유)연세,093779,2020/12,UQ
(유)영가실업,101874,2021/12,NA
(유)영가실업,101874,2022/12,QS
(유)영동레미콘,095255,2019/12,NA
(유)영동레미콘,095255,2020/12,QS
(유)워터스코리아,093395,2019/12,NA
(유)워터스코리아,093395,2020/12,UQ
(유)워터스코리아,093395,2021/12,UQ
(유)워터스코리아,093395,2022/12,UQ
(주)에스앤지,060521,2012/12,UQ
(주)에스앤지,060521,2013/12,UQ
(주)에스앤지,060521,2014/12,UQ
(주)에스앤지,060521,2015/12,UQ
(주)에스앤지,060521,2016/12,UQ
(주)에스앤지,060521,2017/12,UQ
(주)에스앤지,060521,2018/12,UQ
(주)에스앤지,060521,2019/12,UQ
(주)에스앤지,060521,2020/12,UQ
(주)에스앤지,060521,2021/12,UQ
(주)에스앤지,060521,2022/12,UQ
(주)에스앤지바이오텍,082030,2016/12,NA
(주)에스앤지바이오텍,082030,2017/12,UQ
(주)에스앤지바이오텍,082030,2018/12,UQ
(주)에스앤지바이오텍,082030,2019/12,UQ
(주)에스앤지바이오텍,082030,2020/12,UQ
(주)에스앤지바이오텍,082030,2021/12,UQ
(주)에스앤지바이오텍,082030,2022/12,UQ
(주)에스앤지컴퍼니,056486,2012/12,DS
(주)에스앤지컴퍼니,056486,2013/12,DS
(주)에스앤지컴퍼니,056486,2014/12,DS
(주)에스앤지컴퍼니,056486,2015/12,DS
(주)에스앤지컴퍼니,056486,2016/12,DS
(주)에스앤지컴퍼니,056486,2017/12,DS
(주)에스앤지컴퍼니,056486,2018/12,DS
(주)에스앤지컴퍼니,056486,2019/12,DU
(주)에스앤지컴퍼니,056486,2020/12,DU
(주)에스앤지컴퍼니,056486,2021/12,DU
(주)에스앤지컴퍼니,056486,2022/12,DU
(주)에스앤지홀딩스서울,089402,2018/12,NA
(주)에스앤지홀딩스서울,089402,2019/12,UQ
(주)에스앤지홀딩스서울,089402,2020/12,UQ
(주)에스앤케이로지스틱스,101789,2021/12,NA
(주)에스앤케이로지스틱스,101789,2022/12,UQ
(주)에스앤티스포츠,068019,2012/12,NA
(주)에스앤티스포츠,068019,2013/12,UQ
(주)에스앤피리미티드,062944,2012/12,QS
(주)에스앤피리미티드,062944,2013/12,UQ
(주)에스앤피리스트럭처링,064818,2012/12,UQ
(주)에스앤피리스트럭처링,064818,2013/12,UQ
(주)에스앤호텔,078106,2015/12,NA
(주)에스앤호텔,078106,2016/12,UQ
(주)에스얜에스,105492,2021/12,NA
(주)에스얜에스,105492,2022/12,QS
(주)에스에스개발,095591,2019/12,NA
(주)에스에스개발,095591,2020/12,UQ
(주)에스에스뉴테크,066524,2012/12,NA
(주)에스에스뉴테크,066524,2013/12,UQ
(주)에스에스뉴테크,066524,2014/12,UQ
(주)에스에스뉴테크,066524,2015/12,UQ
(주)에스에스뉴테크,066524,2016/12,UQ
(주)에스에스뉴테크,066524,2017/12,UQ
(주)에스에스뉴테크,066524,2018/12,UQ
(주)에스에스뉴테크,066524,2019/12,UQ
(주)에스에스뉴테크,066524,2020/12,UQ
(주)에스에스뉴테크,066524,2021/12,UQ
(주)에스에스뉴테크,066524,2022/12,UQ
(주)에스에스디,062914,2012/12,UQ
(주)에스에스디,062914,2013/12,UQ
(주)에스에스렌터카,074679,2014/12,NA
(주)에스에스렌터카,074679,2015/12,QG
(주)에스에스렌터카,074679,2016/12,AG
(주)에스에스모터스,043558,2012/12,UQ
(주)에스에스모터스,043558,2013/12,UQ
(주)에스에스모터스,043558,2014/12,UQ
(주)에스에스모터스,043558,2015/12,UQ
(주)에스에스모터스,043558,2016/12,UQ
(주)에스에스모터스,043558,2017/12,UQ
(주)에스에스모터스,043558,2018/12,UQ
(주)에스에스모터스,043558,2019/12,UQ
(주)에스에스모터스,043558,2020/12,UQ
(주)에스에스모터스,043558,2021/12,UQ
(주)에스에스모터스,043558,2022/12,UQ
(주)에스에스알,080055,2017/12,UQ
(주)에스에스유통,030051,2012/12,UQ
(주)에스에스유통,030051,2013/12,UQ
(주)에스에스유통,030051,2014/12,UQ
(주)에스에스유통,030051,2015/12,UQ
(주)에스에스유통,030051,2016/12,UQ
(주)에스에스유통,030051,2017/12,UQ
(주)에스에스유통,030051,2018/12,UQ
(주)에스에스유통,030051,2019/12,UQ
(주)에스에스유통,030051,2020/12,UQ
(주)에스에스이앤시,053606,2021/12,NA
(주)에스에스이앤시,053606,2022/12,UQ
(주)에스에스이티,086916,2017/12,NA
(주)에스에스이티,086916,2018/12,DU
(주)에스에스이티,086916,2019/12,DS
(주)에스에스테크널러지,096542,2019/12,NA
(주)에스에스테크널러지,096542,2020/12,QS
(주)에스에스테크널러지,096542,2021/12,UQ
(주)에스에스테크널러지,096542,2022/12,UQ
(주)에스에스피기업,069244,2013/12,NA
(주)에스에스피기업,069244,2014/12,UQ
(주)에스에스피기업,069244,2015/12,UQ
(주)에스에스피기업,069244,2016/12,UQ
(주)에스에스피기업,069244,2017/12,UQ
(주)에스에스피플코리아,100745,2020/12,NA
(주)에스에스피플코리아,100745,2021/12,UQ
(주)에스에이,068956,2013/12,NA
(주)에스에이,068956,2014/12,QS
(주)에스에이,068956,2015/12,UQ
(주)에스에이,068956,2016/12,UQ
(주)에스에이,068956,2017/12,UQ
(주)에스에이,068956,2018/12,UQ
(주)에스에이,068956,2019/12,UQ
(주)에스에이,068956,2020/12,UQ
(주)에스에이,068956,2021/12,UQ
(주)에스에이,068956,2022/12,UQ
(주)에스에이비,082057,2016/12,NA
(주)에스에이비,082057,2017/12,QS
(주)에스에이비,082057,2018/12,NA
(주)에스에이비,082057,2019/12,QS
(주)에스에이씨,043510,2012/12,UQ
(주)에스에이씨,043510,2013/12,UQ
(주)에스에이씨,043510,2014/12,UQ
(주)에스에이씨,043510,2015/12,UQ
(주)에스에이씨,043510,2016/12,UQ
(주)에스에이씨,043510,2017/12,UQ
(주)에스에이씨,043510,2018/12,UQ
(주)에스에이씨,043510,2019/12,UQ
(주)에스에이씨,043510,2020/12,UQ
(주)에스에이씨,043510,2021/12,UQ
(주)에스에이씨,043510,2022/12,UQ
(주)에스에이씨티엔에스,069175,2013/12,NA
(주)에스에이씨티엔에스,069175,2014/12,UQ
(주)에스에이씨티엔에스,069175,2015/12,UQ
(주)에스에이씨티엔에스,069175,2016/12,UQ
(주)에스에이엘,067064,2012/12,NA
(주)에스에이엘,067064,2013/12,UQ
(주)에스에이엘,067064,2014/12,UQ
(주)에스에이엘,067064,2015/12,DU
(주)에스에이엘,067064,2016/12,QS
(주)에스에이엘,067064,2017/12,UQ
(주)에스에이엘,067064,2018/12,UQ
(주)에스에이엘,067064,2019/12,UQ
(주)에스에이엘,067064,2020/12,UQ
(주)에스에이엘,067064,2021/12,UQ
(주)에스에이엘,067064,2022/12,UQ
(주)에스에이정보기술,074071,2014/12,NA
(주)에스에이정보기술,074071,2015/12,QS
(주)에스에이치개발,041753,2012/12,UQ
(주)에스에이치개발,076173,2015/12,NA
(주)에스에이치개발,076173,2016/12,UQ
(주)에스에이치글로벌,046953,2012/12,UQ
(주)에스에이치글로벌,046953,2013/12,UQ
(주)에스에이치글로벌,046953,2014/12,UQ
(주)에스에이치글로벌,046953,2015/12,UQ
(주)에스에이치글로벌,046953,2016/12,UQ
(주)에스에이치글로벌,046953,2017/12,UQ
(주)에스에이치글로벌,046953,2018/12,UQ
(주)에스에이치네트웍스,077965,2015/12,NA
(주)에스에이치네트웍스,077965,2016/12,UQ
(주)에스에이치네트웍스,077965,2017/12,UQ
(주)에스에이치네트웍스,077965,2018/12,UQ
(주)에스에이치디앤씨,064668,2012/12,QS
(주)에스에이치디앤씨,064668,2013/12,UQ
(주)에스에이치디앤씨,092254,2018/12,NA
(주)에스에이치디앤씨,092254,2019/12,UQ
(주)에스에이치디앤씨,092254,2020/12,UQ
