회사명,거래소코드,회계년도,산업코드,산업명,설립일,상장일,기업규모코드,감사의견코드
주식회사성운,029283,2012/12,126801,  부동산업,1999/02/11,0000/00/00,20,UQ
주식회사성운,029283,2013/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운,029283,2014/12,126801,  부동산업,1999/02/11,0000/00/00,20,UQ
주식회사성운,029283,2015/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운,029283,2016/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운,029283,2017/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운,029283,2018/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운,029283,2019/12,126801,  부동산업,1999/02/11,0000/00/00,20,QG
주식회사성운약품,026369,2012/12,074604,  도매 및 상품 중개업,1956/04/15,0000/00/00,20,UQ
주식회사성운약품,026369,2013/12,074604,  도매 및 상품 중개업,1956/04/15,0000/00/00,20,UQ
주식회사성운약품,026369,2020/12,074604,  도매 및 상품 중개업,1956/04/15,0000/00/00,20,NA
주식회사성운약품,026369,2021/12,074604,  도매 및 상품 중개업,1956/04/15,0000/00/00,20,UQ
주식회사성운약품,026369,2022/12,074604,  도매 및 상품 중개업,1956/04/15,0000/00/00,20,UQ
주식회사성웅,104868,2021/12,074701,  소매업; 자동차 제외,2017/06/29,0,20,NA
주식회사성웅,104868,2022/12,074701,  소매업; 자동차 제외,2017/06/29,0,20,QS
주식회사성웅디앤씨,095502,2019/12,126801,  부동산업,2018/01/23,0,20,NA
주식회사성웅디앤씨,095502,2020/12,126801,  부동산업,2018/01/23,0,20,UQ
주식회사성웅디앤씨,095502,2021/12,126801,  부동산업,2018/01/23,0,20,UQ
주식회사성웅디앤씨,095502,2022/12,126801,  부동산업,2018/01/23,0,20,UQ
주식회사성원건설,048333,2012/12,064102,  종합 건설업,1991/03/20,0,20,UQ
주식회사성원건설,048333,2013/12,064102,  종합 건설업,1991/03/20,0,20,UQ
주식회사성원건설,048333,2014/12,064102,  종합 건설업,1991/03/20,0,20,UQ
주식회사성원기업,048944,2012/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,070878,2013/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,NA
주식회사성원기업,048944,2013/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,048944,2014/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,070878,2014/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,QS
주식회사성원기업,048944,2015/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,070878,2015/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,UQ
주식회사성원기업,070878,2016/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,UQ
주식회사성원기업,048944,2016/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,048944,2017/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,070878,2017/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,UQ
주식회사성원기업,070878,2018/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,UQ
주식회사성원기업,048944,2018/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,070878,2019/12,033101,  기타 운송장비 제조업,2011/01/26,0,20,UQ
주식회사성원기업,048944,2019/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,048944,2020/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,048944,2021/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
주식회사성원기업,048944,2022/12,033101,  기타 운송장비 제조업,1999/03/01,0,20,UQ
