나이대,피해자성별,피해금액,피해년월,사기유형,사칭기관
50대,여,7651200,2022년03월,지인사칭(메신저피싱),개인
70대,여,10000000,2022년03월,지인사칭(메신저피싱),개인
80대,여,997000,2022년03월,지인사칭(메신저피싱),개인
60대,남,500000,2022년03월,지인사칭(메신저피싱),개인
60대,남,200000,2022년03월,지인사칭(메신저피싱),개인
60대,남,6020000,2022년03월,지인사칭(메신저피싱),개인
60대,남,500000,2022년03월,지인사칭(메신저피싱),개인
50대,여,1000000,2022년03월,지인사칭(메신저피싱),개인
50대,여,120000,2022년03월,지인사칭(메신저피싱),개인
60대,여,100000,2022년03월,지인사칭(메신저피싱),개인
60대,남,200000,2022년03월,지인사칭(메신저피싱),개인
60대,남,6023000,2022년03월,지인사칭(메신저피싱),개인
60대,여,200000,2022년03월,지인사칭(메신저피싱),개인
50대,여,3200000,2022년03월,지인사칭(메신저피싱),개인
60대,남,1664000,2022년03월,지인사칭(메신저피싱),개인
70대,여,200000,2022년03월,지인사칭(메신저피싱),개인
70대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,남,150000,2022년03월,지인사칭(메신저피싱),개인
50대,여,200000,2022년03월,지인사칭(메신저피싱),개인
70대,남,300000,2022년03월,지인사칭(메신저피싱),개인
50대,남,9000000,2022년03월,지인사칭(메신저피싱),개인
50대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,여,200000,2022년03월,지인사칭(메신저피싱),개인
60대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,여,9000000,2022년03월,지인사칭(메신저피싱),개인
60대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,남,100000,2022년03월,지인사칭(메신저피싱),개인
60대,남,900000,2022년03월,지인사칭(메신저피싱),개인
60대,여,149375,2022년03월,지인사칭(메신저피싱),개인
60대,여,180000,2022년03월,지인사칭(메신저피싱),개인
60대,여,200000,2022년03월,지인사칭(메신저피싱),개인
50대,여,100000,2022년03월,지인사칭(메신저피싱),개인
70대,여,10000000,2022년03월,지인사칭(메신저피싱),개인
